Entity,English entity
İ©Üù¸Ë¿İ²¡,Chufa stem rot
İ©ÜùÇò¾¥»ÒÃ¹²¡,nan
İ©Üù¿İÎ®²¡,nan
İ©Üù¾¥¸¯²¡,nan
İ©Üù°×ºÌÃø,Mat-rush pyralid
»ÆÉ«°×ºÌÃø,nan
ÖĞ»ªòÆòì,nan
Ä¢¹½ºÖ¸¯²¡,Mushroom tan rot
Ä¢¹½ºÖ°ß²¡,Mushroom tan disease
Ä¢¹½â§µ¹²¡,Mushroom damping off
·ğÊÖ¹ÏÂû¿İ²¡,Chayote Ascochyta stem blight
·ğÊÖ¹ÏÒ¶µã²¡,Chayote Phyllosticta leafspot
¿à¹Ï°×°ß²¡,Balsam pear Cercospora leaf spot
¿à¹Ï°×·Û²¡,Balsam pear powdery milde
¿à¹ÏËªÃ¹²¡,Balsam pear downy milde
¿à¹ÏÌ¿¾Ò²¡,Balsam pear anthracnose
¿à¹ÏÒ¶¿İ²¡,Balsam pear Alternaria blight
¿à¹Ï°ßµã²¡,Balsam pear Phyllosticta leaf spot
¿à¹ÏÒß²¡,Balsam pear Phytophthora blight
¿à¹Ï¿İÎ®²¡,Balsam pear Fusarium wilt
¿à¹Ï¸ù¸¯²¡,Balsam pear Fusarium root rot
¿à¹Ï°×¾î²¡,nan
¿à¹Ïâ§µ¹²¡,nan
¿à¹Ï¾úºË²¡,Balsam pear Sclerotinia rot
¿à¹Ï¸ù½áÏß³æ²¡,Balsam pear root-knot nematode disease
¿à¹Ï»Ò°ß²¡,Balsam pear gray leaf spot
¿à¹ÏÂû¿İ²¡,Balsam pear gummy stem blight
¿à¹ÏÁ¢¿İ²¡,Balsam pear Rhizoetonia rot
¿à¹ÏÏ¸¾úĞÔ½Ç°ß²¡,Balsam pear angular leaf spot
¿à¹Ï²¡¶¾²¡,Balsam pear mosaic disease
¿à¹Ï¸ùÃ¹¹û¸¯²¡,Balsam pear Rhizopus rot
¿à¹ÏÁÑ¹û,nan
²Ë¶¹ºì°ß²¡,Bean Cercospora leaf spot
²Ë¶¹°×¾î²¡,Bean southern blight
²Ë¶¹Ì¿¸¯²¡,Bean charcoal rot
²Ë¶¹¾¥»ù¸¯²¡,Bean Rhizoctonia rot
²Ë¶¹»ÒÃ¹²¡,Bean gray mold
²Ë¶¹ÂÖÎÆ²¡,Bean zonate spot
²Ë¶¹Ğâ²¡,Bean rust
²Ë¶¹Ì¿¾Ò²¡,Bean anthracnose
²Ë¶¹ºÚ°ß²¡,Bean leaf spot
²Ë¶¹¾úºË²¡,Bean Sclerotinia blight
²Ë¶¹ºÖ°ß²¡,Bean Cercospora leaf spot
²Ë¶¹¸ù¸¯²¡,Bean Fusarium root-rot
²Ë¶¹¿İÎ®²¡,Bean Fusarium wilt
²Ë¶¹½Ç°ß²¡,Bean angular leaf spot
²Ë¶¹Ï¸¾úĞÔÒß²¡,Bean bacterial common blight
²Ë¶¹Ï¸¾úĞÔÔÎÒß²¡,Bean bacterial halo-blight
²Ë¶¹»¨Ò¶²¡,Bean virus disease
²Ë¶¹°ßµã²¡,Bean Phyllosticta leaf spot
²Ë¶¹°×·Û²¡,Bean powdery mildo
²Ë¶¹¸¯Ã¹²¡,Bean Pythium rot
²Ë¶¹ÎÛÃº²¡,Bean Cercospora leaf spot
²Ë¶¹¸ùÃ¹Èí¸¯²¡,Bean Rhizopus soft rot
²Ë¶¹(Á´¸ñæß)ºÚ°ß²¡,Bean Alternaria leaf spot
²Ë¶¹Ï¸¾úĞÔÒ¶°ß²¡,Bean bacterial leaf spot
Ï¡µãÑ©µÆ¶ê,White-wing blake-dotted moth
°×Ñ©µÆ¶ê,Snowy-white tiger moth
Ë«°ßÓ©Ò¶¼×,Double-spotted leaf beetle
°ßÇÊ¶¹Ò¶¼×,Bean leaf beetle
¶¹Ò¶òı,Sagami spider mite
½ØĞÎÒ¶òı,Ishil spider mite
ôø¶¹Òß²¡,Co¿ÉÊªĞÔ·Û¼Áea Phytophthora blight
ôø¶¹ÃºÃ¹²¡,Co¿ÉÊªĞÔ·Û¼Áea sooty blotch
ôø¶¹¿İÎ®²¡,Co¿ÉÊªĞÔ·Û¼Áea Fusarium wilt
ôø¶¹Ğâ²¡,Co¿ÉÊªĞÔ·Û¼Áea rust
ôø¶¹°×·Û²¡,Co¿ÉÊªĞÔ·Û¼Áea powdery milde
ôø¶¹°×¾î²¡,Co¿ÉÊªĞÔ·Û¼Áea southern blight
ôø¶¹»ù¸¯²¡,Co¿ÉÊªĞÔ·Û¼Áea Rhizoctonia rot
ôø¶¹¸ù¸¯²¡,Co¿ÉÊªĞÔ·Û¼Áea Fusarium root rot
ôø¶¹»ÒÃ¹²¡,Co¿ÉÊªĞÔ·Û¼Áea gray mold
ôø¶¹ºÖ°ß²¡,Co¿ÉÊªĞÔ·Û¼Áea brown leaf spot
ôø¶¹ºì°ß²¡,Co¿ÉÊªĞÔ·Û¼Áea Cercospora leaf spot
ôø¶¹¾úºË²¡,Co¿ÉÊªĞÔ·Û¼Áea Sclerotinia blight
ôø¶¹°ß¿İ²¡,Co¿ÉÊªĞÔ·Û¼Áea Septoria leaf spot
ôø¶¹Á¢¿İ²¡,Co¿ÉÊªĞÔ·Û¼Áea Rhizoctonia rot
ôø¶¹¸ù½áÏß³æ²¡,Co¿ÉÊªĞÔ·Û¼Áea root-knot nematode disease
ôø¶¹Ï¸¾úĞÔÒß²¡,Co¿ÉÊªĞÔ·Û¼Áea bacterial common blight
ôø¶¹Ì¿¾Ò²¡,Co¿ÉÊªĞÔ·Û¼Áea anthracnose
ôø¶¹ÂÖÎÆ²¡,Co¿ÉÊªĞÔ·Û¼Áea zonate leaf spot
ôø¶¹½Ç°ß²¡,Co¿ÉÊªĞÔ·Û¼Áea angular leaf spot
ôø¶¹¾¥¿İ²¡,Co¿ÉÊªĞÔ·Û¼Áea ashy-stem blight
ôø¶¹»Ò°ß²¡,Co¿ÉÊªĞÔ·Û¼Áea Corynespora leaf spot
ôø¶¹²¡¶¾²¡,Co¿ÉÊªĞÔ·Û¼Áea mosaic
ôø¶¹Àà¾úÔ­Ìå´ÔÖ¦²¡,Co¿ÉÊªĞÔ·Û¼Áea witches¡¯broom
Ã«¶¹Ğâ²¡,Young soya bean rust
Ã«¶¹Ò¶°ß²¡,Young soya bean leaf spot
Ã«¶¹Òß²¡,Young soya bean Phytophthora blight
ºìÔµµÆ¶ê,Red-costate tiger moth
¶¹¸ËºÚÇ±Ó¬,Soybean fly
É¸¶¹¹êòí,Globular stink bug
¶¹Í»ÑÛ³¤òí,Small bean bug
Ã«¶¹ºÖ°ß²¡,Young soya bean brown leaf spot
Ã«¶¹ºÚ°ß²¡,Young soya bean Alternaria leaf spot
Ã«¶¹»Ò°ß²¡,Young soya bean Cercospora leaf spot
Ã«¶¹ËªÃ¹²¡,Young soya bean downy milde
Ã«¶¹°Òµã²¡,Young soya bean Corynespora leaf spot
Ã«¶¹Ì¿¾Ò²¡,Young soya bean anthracnose
Ã«¶¹¸ù¸¯²¡,Young soya bean Fusarium root rot
Ã«¶¹¼Ô¿İ²¡,Young soya bean pod rot
Ã«¶¹³àÃ¹²¡,Young soya bean Fusarium blight
Ã«¶¹¿İÎ®²¡,Young soya bean Fusarium wilt
Ã«¶¹Ï¸¾ú°ßÕî²¡,Young soya bean bacterial pustule
Ã«¶¹²¡¶¾²¡,Young soya bean mosaic
Ã«¶¹æßÄÒÏß³æ²¡,nan
Ã«¶¹¾úºË²¡,Young soya bean sclertiniose
Ã«¶¹â§µ¹²¡,Soybean damping off
Ã«¶¹Á¢¿İ²¡,Soybean soreshin blight
Ã«¶¹ºÚµã²¡,Soybean black spot
Ã«¶¹ÂÖÎÆ²¡,Soybean zonate spot
Ã«¶¹°×·Û²¡,Young soya bean powdery milde
Ã«¶¹»ÒĞÇ²¡,Young soya bean Phyllosticta leaf spot
Ã«¶¹¾¥¿İ²¡,nan
Ã«¶¹¾úºËÒß²¡,Young soya bean sclerotium rot
Ã«¶¹Ãº°ß²¡,Young soya bean sooty blotch
Ã«¶¹Ï¸¾úĞÔ°ßµã²¡,Soybean bacterial blight disease
Ã«¶¹È±¼Ø,nan
Ã«¶¹ĞßÎ®²¡,nan
Ã«¶¹×Ï°ß²¡,Young soya bean purple blotch
Ã«¶¹×ØÉ«Ò¶°ß²¡,Young soya bean Macrophoma leaf spot
Íã¶¹ºÖ°ß²¡,Pea Ascochyta blight
Íã¶¹ºÖÎÆ²¡,Pea Mycosphaerella blight
Íã¶¹ËªÃ¹²¡,Pea downy milde
Íã¶¹°×·Û²¡,Pea powdery milde
Íã¶¹»Æ¶¥²¡,Pea yellow top virus
Íã¶¹»ù¸¯²¡,Pea Rhizoctonia rot
Íã¶¹ºÚ¸ù²¡,Pea Aphanomyces root rot
Î÷ºùÂ«»ÒÃ¹²¡,Summer squash gray mold
Î÷ºùÂ«¿İÎ®²¡,Summer squash Fusarium wilt
Î÷ºùÂ«Âû¿İ²¡,Summer squash gummy stem blight
Î÷ºùÂ«Ãà¸¯²¡,Summer squash damping off
Î÷ºùÂ«¾úºË²¡,Vegetable marrow Sclerotinia  fruit  rot
Î÷ºùÂ«ºÖ¸¯²¡,Summer squash brown rot
Î÷ºùÂ«Èí¸¯²¡,Summer squash bacterial soft rot
Î÷ºùÂ«²¡¶¾²¡,Summer squash virus disease
Î÷ºùÂ«ÇúÃ¹²¡,Summer squash Aspergillus rot
Î÷ºùÂ«Á­µ¶¾ú¹û¸¯²¡,Summer squash Fusarium fruit rot
Î÷ºùÂ«ÈÕ×Æ²¡,Summer squash suncald
Î÷ºùÂ«»ûĞÎ¹Ï,nan
Î÷ºùÂ«»¯¹Ï,Summer squash physiological abortion
¶¬¹Ï°×·Û²¡,Chinese waxgourd powdery milde
¶¬¹ÏºÚĞÇ²¡,nan
¶¬¹ÏËªÃ¹²¡,Chinese waxgourd downy milde
¶¬¹ÏºÖ°ß²¡,Chinese waxgourd Corynespora leaf spot
¶¬¹ÏÌ¿¾Ò²¡,Chinese waxgourd anthracnose
¶¬¹ÏÒ¶°ß²¡,Chinese waxgourd leaf spot
¶¬¹ÏÒß²¡,Chinese waxgourd Phytophthora blight
¶¬¹Ï¿İÎ®²¡,Chinese waxgourd Fusarium wilt
¶¬¹ÏÂû¿İ²¡,Chinese waxgourd gummy stem blight
¶¬¹ÏºÖ¸¯²¡,Chinese waxgourd brown rot
¶¬¹ÏÃà¸¯²¡,nan
¶¬¹ÏÏ¸¾úĞÔ½Ç°ß²¡,Chinese waxgourd angular leaf spot
¶¬¹ÏÈí¸¯²¡,Chinese waxgourd bacterial soft rot
¶¬¹Ï(Ò¶µãÃ¹)Ò¶°ß²¡,Chinese waxgourd Phyllosticta leaf spot
¶¬¹ÏÈÕ×Æ²¡,Chinese waxgourd sunscald
¶¬¹ÏÁÑ¹û,nan
¶¬¹Ï²¡¶¾²¡,Chinese waxgourd mosaic disease
¶¬¹Ï»Ò°ß²¡,Chinese waxgourd gray leaf spot
¶¬¹ÏÁ¢¿İ²¡,Chinese waxgourd Rhizoctonia rot
¶¬¹ÏºÚ°ß²¡,Chinese waxgourd Alternaria blight
¶¬¹ÏÃàÒß²¡,nan
¶¬¹Ï¾úºË²¡,Chinese waxgourd Sclerotinia rot
¶¬¹ÏÅ½¸ù,nan
¶¬¹Ï¸ù¸¯²¡,Chinese waxgourd root rot
»Æ¼»Âí,Honeysuckle thrips
ğ­¹ÏËªÃ¹²¡,Clavated calabash downy milde
ğ­¹Ï°×·Û²¡,Clavated calabash powdery milde
ğ­¹ÏÌ¿¾Ò²¡,Clavated calabash anthracnose
ğ­¹Ï»ÒÃ¹²¡,Clavated calabash gray mold
ğ­¹Ï¿İÎ®²¡,Clavated calabash gourd Fusarium wilt
ğ­¹ÏºÖ¸¯²¡,Clavated calabash brown rot
ğ­¹ÏÃà¸¯²¡,Clavated calabash cottony leak
ğ­¹ÏÏ¸¾úĞÔ½Ç°ß²¡,Clavated calabash angular leaf spot
ğ­¹ÏºÖ°ß²¡,Clavated calabash Cercospora leaf spot
ğ­¹ÏÂû¿İ²¡,Clavated calabash gummy stem blight
ğ­¹Ï²¡¶¾²¡,Clavated calabash virus disease
ğ­¹Ï¹û°ß²¡,Clavated calabash fruit blotch
ğ­¹ÏÃºÎÛ²¡,Clavated calabash Cerospora
ğ­¹Ï»¯¹Ï,Clavated calabash physiological abortion
Ë¿¹ÏËªÃ¹²¡,Vegetable sponge downy milde
Ë¿¹Ï°×·Û²¡,Vegetable sponge powdery milde
Ë¿¹Ï°×°ß²¡,Vegetable sponge Cercospora leaf spot
Ë¿¹Ï¿İÎ®²¡,Vegetable sponge Fusarium wilt
Ë¿¹ÏÂû¿İ²¡,Vegetable sponge gummy stem blight
Ë¿¹ÏÃà¸¯²¡,Vegetable sponge cottony leak
Ë¿¹ÏÏ¸¾úĞÔ½Ç°ß²¡,Vegetable sponge angular leaf spot
Ë¿¹Ï²¡¶¾²¡,Vegetable sponge mosaic disease
Ë¿¹ÏÌ¿¾Ò²¡,Vegetable sponge anthracnose
Ë¿¹ÏºÖ°ß²¡,Vegetable sponge leaf spot
Ë¿¹ÏÒß²¡,Vegetable sponge Phytophthora blight
Ë¿¹ÏÂÖÎÆ°ß²¡,Vegetable sponge Diplodia leaf spot
Ë¿¹Ï¹û¸¯²¡,Vegetable sponge Rhizopus fruit rot
Ë¿¹Ï¸ù½áÏß³æ²¡,Vegetable sponge root-nematode disease
Ë¿¹Ï»¯¹Ï,Vegetable sponge abortion
½Ú¹Ï¼»Âí,Palm thrips
ÄÏ¹ÏºÚĞÇ²¡,Pumpkin scab
ÄÏ¹ÏÒß²¡,Pumpkin Phytophthora rot
ÄÏ¹Ï°×·Û²¡,Pumpkin powdery milde
ÄÏ¹Ï¿İÎ®²¡,Pumpkin Fusarium wilt
ÄÏ¹Ï°×¾î²¡,Pumpkin southern blight
ÄÏ¹Ï²¡¶¾²¡,Pumpkin mosaic disease
ÄÏ¹Ï°ßµã²¡,Pumpkin leaf spot
ÄÏ¹ÏËªÃ¹²¡,Pumpkin downy milde
ÄÏ¹Ï½Ç°ß²¡,Pumpkin angular leaf spot 
ÄÏ¹Ï»Ò°ß²¡,Pumpkin Cercospora leaf spot
ÄÏ¹ÏºÚ°ß²¡,Pumpkin Alternaria black spot
ÄÏ¹ÏÌ¿¾Ò²¡,Pumpkin anthracnose
ÄÏ¹ÏÂû¿İ²¡,Pumpkin gummy stem blight
ÄÏ¹Ï¸ù½áÏß³æ²¡,Pumpkin root-knot nematode disease
ÄÏ¹Ï°ß¿İ²¡,pumpkin spot blight
ÄÏ¹Ï¸ùÃ¹¹û¸¯²¡,Summer squash Rhizopus rot
ÄÏ¹ÏºÖ¸¯²¡,Pumpkin brown rot
ÄÏ¹ÏÏ¸¾úĞÔÔµ¿İ²¡,Pumpkin marginal blight
ÄÏ¹ÏÒøÒ¶²¡,Pumpkin silverleaf disease
ÄÏ¹Ï»¯¹Ï,Pumpkin physiological abortion
·Éµú¹Ï²¡¶¾²¡,UFO squash mosaic disease
·Éµú¹Ï¸ùÃ¹¹û¸¯²¡,UFO squash Rhizopus rot
·Éµú¹ÏºÖ¸¯²¡,nan
·Éµú¹Ï»ÒÃ¹²¡,UFO squash gray mold
·Éµú¹Ï¿İÎ®²¡,UFO squash Fusarium wilt
·Éµú¹ÏÂû¿İ²¡,UFO squash stem blight
·Éµú¹ÏÆê¸¯²¡,UFO squash blossom end rot
·Éµú¹ÏÈí¸¯²¡,UFO squash bacterial soft rot
·Éµú¹Ï»¯¹Ï,UFO squash abortion
·ğÊÖ¹Ï°×·Û²¡,Chayote powdery milde
·ğÊÖ¹Ï¿İÎ®²¡,Chayote Fusarium wilt
À±½·¿İÎ®²¡,Pepper Fusarium wilt
À±½·â§µ¹²¡,Pepper damping off
À±½·Á¢¿İ²¡,Pepper Rhizoctonia rot
À±½·¸ù¸¯²¡,Pepper root rot
À±½·°×¾î²¡,Pepper Sclerotium blight
À±½·»ÆÎ®²¡,Pepper Verticillium wilt
À±½·Ï¸¾úĞÔÒ¶°ß²¡,Pepper bacterial leaf spot
À±½·Çà¿İ²¡,Pepper southern bacterial wilt
À±½·´¯ğè²¡,Pepper bacterial spot
À±½·Èí¸¯²¡,Pepper soft rot
À±½·²¡¶¾²¡,Pepper mosaic virus disease
À±½·Ò¶¿İ²¡,Pepper Stemphylium leaf blight
À±½·°×°ß²¡,Pepper Stemphylium leaf spot
À±½·ËªÃ¹²¡,Pepper downy milde
À±½·¿İ¶¥²¡¶¾²¡,Sweet peper and Peper top blight virus
À±½·×Ï°ß²¡,Pepper cyanidine
À±½·¡°»¢Æ¤¡±²¡,nan
À±½·ÈÕ×Æ²¡,Pepper sunscald
À±½·ÃçÆÚÅ½¸ù,nan
À±½·µÍÎÂÀäº¦ºÍ¶³º¦,Pepper chilling and freezing injury
À±½·¸ßÎÂ²¡,Pepper high temperature injury
ÇÑÎŞÍøÑÁ,nan
À±½·ÊµÓ¬,solanum fruit fly
ÇÑ×Ó°×·Û²¡,Eggplant powdery mildew
ÇÑ×ÓÔçÒß²¡,Eggplant early blight
ÇÑ×Ó°ôæßÒ¶°ß²¡,Eggplant Corynespora leaf spot
ÇÑ×ÓºÖÎÆ²¡,Eggplant Phomopsis rot
ÇÑ×ÓÒ¶Ã¹²¡,Eggplant Fulvia leaf mold
ÇÑ×Ó»ÒÃ¹²¡,Eggplant gray mold
ÇÑ×Ó¾úºË²¡,Eggplant Sclerotinia rot
ÇÑ×ÓÌ¿¾Ò²¡,Eggplant anthracnose
ÇÑ×ÓºÚ°ß²¡, Eggplant black spot 
ÇÑ×Ó°×¾î²¡,Eggplant Sclerotium blight
ÇÑ×ÓºÖÉ«Ô²ĞÇ²¡,Eggplant Cercospora leaf spot
ÇÑ×ÓÃàÒß²¡,Eggplant Phytophthora rot
ÇÑ×Óâ§µ¹²¡,Eggplant damping-off
ÇÑ×Ó¸ù¸¯²¡,Eggplant root rot
ÇÑ×Ó»ÆÎ®²¡,Eggplant Verticillium wilt
ÇÑ×ÓÇà¿İ²¡,Eggplant southern bacterial wilt
ÇÑ×ÓÈí¸¯²¡,Eggplant soft rot
ÇÑ×Ó²¡¶¾²¡,Eggplant mosaic virus disease
ÇÑ×Ó°ß¿İ²¡,Eggplant Septoria spot
ÇÑ×Ó½»Á´æß¹û¸¯²¡,Eggplant Alternaria fruit rot
ÇÑ×Ó°ßÎ®²¡¶¾²¡,Eggplant spotted wilt virus
ÇÑ¸ù½áÏß³æ²¡,Eggplant root-knot nematode disease
ÇÑ×ÓºÖ°ß²¡,Eggplant Phyllosticta brown leaf spot
ÇÑ×ÓºÚ¿İ²¡,Eggplant black rot
ÇÑ×ÓÄâºÚ°ß²¡,Eggplant black spot
ÇÑ×Ó³àĞÇ²¡,Eggplant Septoria leaf spot
ÇÑ×ÓÏ¸ÂÖÎÆ²¡,Eggplant Phoma leaf spot
ÇÑ×ÓºÖÂÖÎÆ²¡,Eggplant Ascochyta leaf spot
ÇÑ×ÓÃº°ß²¡,Eggplant Pseudocercospora leaf spot
ÇÑ×Óºì¸¯²¡,Eggplant Fusarium rot
ÇÑ×Ó¹ûÊµÒß²¡,Eggplant Phtyophthora fruit rot
ÇÑ×Ó»¨¸¯²¡,Eggplant Choanephora blossom rot
ÇÑ×ÓºÚ¸ùÃ¹¹û¸¯²¡,Eggplant Rhizopus fruit rot
ÇÑ×Ó¿İÎ®²¡,Eggplant Fusarium wilt
ÇÑ×ÓºÚµã¸ù¸¯²¡,Eggplant black-dot root rot
ÇÑ×ÓÏ¸¾úĞÔºÖ°ß²¡,Eggplant necrotic leaf spot
ÇÑ×ÓÁÑ¹û,Eggplant cracking fruit
ÇÑ×Ó»ûĞÎ»¨,nan
ÇÑ×Ó×ÅÉ«²»Á¼,nan
ÇÑ×ÓÂä»¨,Eggplant deflorating
ÇÑ×Ó½©¹û,Eggplant stiff fruit
ÇÑ×Ó»ûĞÎ¹û,Eggplant malformed fruit
ÇÑ×ÓµÍÎÂÕÏ°­,Eggplant low temperature injury
ÇÑ×ÓÈ±ËØÖ¢,nan
ÇÑ»Æ°ßÃø,Eggplant borer
ÇÑ¶şÊ®°ËĞÇÆ°³æ,Eggplant lady beetle
ÜÙŞ£Ò¹¶ê,flax budworm
»ÆÁìÂéÎÆµÆ¶ê,Mulberry tiger moth
ÇÑÔéÌø¼×,nan
»Æ¹ÏÅ½¸ù,Cucumber steeping root
»Æ¹Ï°×¾î²¡,Cucumber southern blight
»Æ¹ÏÒ¶°ß²¡,Cucumber leaf spot
»Æ¹ÏËªÃ¹²¡,Cucumber downy milde
»Æ¹ÏÒß²¡,Cucumber Phytophthora blight
»Æ¹ÏºÚĞÇ²¡,Cucumber scab
»Æ¹Ï°×·Û²¡,Cucumber powdery milde
»Æ¹ÏºÚ°ß²¡,Cucumber Alternaria blight
»Æ¹Ï°Ğ°ß²¡,Cucumber Corynespora target leaf spot
»Æ¹Ï»ÒÉ«Òß²¡,Cucumber Phytophthora rot
»Æ¹Ïºì·Û²¡,Cucumber pink mold rot
»Æ¹ÏÔ²Ò¶¿İ²¡,Cucumber circle leaf blight
»Æ¹Ï¿İÎ®²¡,Cucumber Fusarium wilt
»Æ¹ÏÂû¿İ²¡,Cucumber gummy stem blight
»Æ¹Ïâ§µ¹²¡,Cucumber damping off
»Æ¹ÏÁ¢¿İ²¡,Cucumber Rhizoctonia rot
»Æ¹Ï¾úºË²¡,Cucumber Sclerotinia rot
»Æ¹ÏÏ¸¾úĞÔ½Ç°ß²¡,Cucumber angular leaf spot
»Æ¹Ï¸ù½áÏß³æ²¡,Cucumber root-knot nematode disease
»Æ¹ÏÌ¿¾Ò²¡,Cucumber anthracnose
»Æ¹Ï»ÒÃ¹²¡,Cucumber gray mold
»Æ¹Ï¸ù¸¯²¡,Cucumber Fusarium root rot
»Æ¹ÏÏ¸¾úĞÔÔµ¿İ²¡,Cucumber marginal blight
»Æ¹ÏÏ¸¾úĞÔ¿İÎ®²¡,Cucumber bacterial wilt
»Æ¹Ï²¡¶¾²¡,Cucumber mosaic disease
»Æ¹Ï°ßµã²¡,Cucumber leaf blotch
»Æ¹ÏÓ×Ãç¸¯Ã¹¸ù¸¯²¡,Cucumber seedling Pythium root rot
»Æ¹ÏÒ¶µãÃ¹Ò¶°ß²¡,Cucumber Phyllosticta leaf spot
»Æ¹Ï»¨¸¯²¡,Cucumber blossom blight
»Æ¹ÏÈí¸¯²¡,Cucumber bacterial soft rot
»Æ¹ÏÏ¸¾úĞÔÔ²°ß²¡,Cucumber bacterial round spot
»Æ¹ÏÂÌ°ß»¨Ò¶²¡,Cucumber green mottle
»Æ¹ÏÕæ»¬ÈĞÏß³æ²¡,nan
»Æ¹ÏÒ¶ÉÕ²¡,Cucumber leaf burn
»Æ¹ÏÉúÀíĞÔÎ®Äè,Cucumber non-infectious wilt
»Æ¹ÏÒ¶Æ¬¼±ĞÔµ÷Î®,Cucumber acute leaf wilt
»Æ¹Ï¸ßÎÂÕÏ°­,Cucumber high temperature injury
»Æ¹ÏÅİÅİ²¡,nan
»Æ¹ÏÆğËª¹ûºÍÁÑ¹û,nan
»Æ¹ÏÈ±ËØÖ¢,nan
»Æ¹Ï»Æ»¯Ò¶,nan
»Æ¹Ï½¹±ßÒ¶,nan
»Æ¹Ï»¨°ßÒ¶,Cucumber blotch leaf
»Æ¹Ï»ûĞÎ¹ÏºÍ¿àÎ¶¹Ï,nan
»Æ¹Ï»¨´ò¶¥,Cucumber blossom top
»Æ¹Ï»¯¹Ï,Cucumber abortion
»Æ¹ÏµÍÎÂÕÏ°­,Cucumber low temperature injury
»Æ¹ÏºÖÂöÒ¶,Cucumber brown vein
»Æ¹Ï¹ÏÀĞ,Cucumber ¡°little¡± fruit
»Æ¹ÏÃç¡°´÷Ã±¡±,Cucumber seedling ¡°cap¡±
Î÷ºùÂ«ºÚĞÇ²¡,Summer squash scab
Î÷ºùÂ«°×·Û²¡,Summer squash powdery milde
Î÷ºùÂ«Ì¿¾Ò²¡,Vegetable marrow anthracnose
Î÷ºùÂ«ºÖ°ß²¡,Summer squash Cercospora leaf spot
Ş³²Ë¸¯°Ü²¡,Waterspinach Rhizoctonia rot
Ş³²Ë²¡¶¾²¡,nan
Ş³²ËÌ¿¾Ò²¡,Waterspinach anthracnose
Ş³²ËÏ¸¾úĞÔÒ¶¿İ²¡,Waterspinach bacterual leaf blight
¸ÊÊíÂó¶ê,Sweetpotato leaf-folder
¸ÊÊíÌì¶ê,Sweetpotato hornworm
¸ÊÊíĞ¤Ò¶¼×,Sweetpotato leaf beetle
ÜîÏã¾úºË²¡,Fennel Sclerotinia stem rot
ÜîÏãËªÃ¹²¡,Fennel downy milde
ÜîÏã¿İÎ®²¡,Fennel Fusarium wilt
ÜîÏãâ§µ¹²¡,Fennel damping off
ÜîÏãÁ¢¿İ²¡,Fennel Rhizoctonia rot
ÜîÏã°×·Û²¡,Fennel powdery milde
