entity,condition,relation
斜纹夜蛾,相对湿度75%～80%,适宜发生条件
斜纹夜蛾,田间水肥好,适宜发生条件
草莓枯萎病,土质粘重,适宜发生条件
草莓枯萎病,地势低洼,适宜发生条件
草莓枯萎病,排水不良,适宜发生条件
草莓枯萎病,地温低,适宜发生条件
草莓枯萎病,耕作粗放,适宜发生条件
草莓枯萎病,土壤过酸,适宜发生条件
草莓枯萎病,施肥不足,适宜发生条件
草莓枯萎病,偏施氮肥,适宜发生条件
草莓根腐病,土壤板结,适宜发生条件
草莓根腐病,地力下降,适宜发生条件
草莓根腐病,土壤湿度过大,适宜发生条件
草莓炭疽病,凉爽,适宜发生条件
草莓白粉病,空气湿度为80%,适宜发生条件
草莓白粉病,高温高湿,适宜发生条件
草莓灰霉病,温暖湿润,适宜发生条件
草莓青枯病,状态，湿度小,适宜发生条件
草莓畸形果,低温,适宜发生条件
枣桃六点天蛾,多雨高湿,适宜发生条件
柿炭疽病,树冠郁闭,适宜发生条件
柿炭疽病,通风透光不良,适宜发生条件
柿灰霉病,通风条件差,适宜发生条件
柿灰霉病,施氮肥多,适宜发生条件
柿圆斑病,土地瘠薄,适宜发生条件
柿圆斑病,肥料不足,适宜发生条件
石榴干腐病,地势低洼,适宜发生条件
石榴干腐病,土壤瘠薄,适宜发生条件
石榴干腐病,管理不良,适宜发生条件
石榴干腐病,树势弱,适宜发生条件
石榴干腐病,降雨不均,适宜发生条件
石榴疮痂病,多雨湿度大,适宜发生条件
柑橘脂点黄斑病,湿度大,适宜发生条件
柑橘炭疽病,高温多湿,适宜发生条件
柑橘疫霉病,地势低洼,适宜发生条件
柑橘疫霉病,排水不良,适宜发生条件
柑橘疫霉病,树冠郁闭,适宜发生条件
柑橘疫霉病,通风透光差,适宜发生条件
柑橘疫霉病,土壤干湿,适宜发生条件
柑橘黄龙病,施肥不足,适宜发生条件
柑橘黄龙病,排水不良,适宜发生条件
柑橘黄龙病,树冠郁闭,适宜发生条件
柑橘赤衣病,潮湿,适宜发生条件
柑橘黑腐病,高温多湿,适宜发生条件
柑橘青霉病,温高湿度大,适宜发生条件
柑橘始叶螨,晴天多,适宜发生条件
柑橘始叶螨,湿度低,适宜发生条件
荔枝霜疫霉病,地势低洼,适宜发生条件
荔枝霜疫霉病,土壤黏重,适宜发生条件
荔枝霜疫霉病,排水不良,适宜发生条件
荔枝霜疫霉病,荫蔽度大,适宜发生条件
荔枝藻斑病,温暖潮湿,适宜发生条件
荔枝藻斑病,通风不良,适宜发生条件
荔枝叶斑病,湿度高,适宜发生条件
荔枝叶斑病,土壤黏重,适宜发生条件
荔枝叶斑病,排水不良,适宜发生条件
荔枝壳二孢叶斑病,荫蔽潮湿,适宜发生条件
荔枝裂果,湿度低,适宜发生条件
龙眼灰斑病,温暖潮湿,适宜发生条件
龙眼酸腐病,高温,适宜发生条件
龙眼酸腐病,高湿,适宜发生条件
芒果炭疽病,空气湿度大,适宜发生条件
芒果细菌性黑斑病,湿度大于90%,适宜发生条件
芒果白粉病,土壤比较潮湿,适宜发生条件
枇杷灰斑病,排水不良,适宜发生条件
枇杷灰斑病,树冠郁密,适宜发生条件
枇杷灰斑病,通风透光差,适宜发生条件
枇杷炭疽病,高温高湿,适宜发生条件
枇杷胡麻色斑点病,地势低洼,适宜发生条件
枇杷胡麻色斑点病,排水不良,适宜发生条件
枇杷胡麻色斑点病,土壤板结,适宜发生条件
枇杷胡麻色斑点病,透气性差,适宜发生条件
草莓疫霉果腐病,地势低洼,适宜发生条件
草莓疫霉果腐病,土壤粘重,适宜发生条件
香蕉巴拿马枯萎病,高温,适宜发生条件
香蕉巴拿马枯萎病,土壤湿,适宜发生条件
香蕉灰纹病,偏施氮肥,适宜发生条件
香蕉灰纹病,排水不良,适宜发生条件
香蕉煤纹病,偏施氮肥,适宜发生条件
香蕉煤纹病,排水不良,适宜发生条件
香蕉黑星病,多雨高湿,适宜发生条件
香蕉黑星病,重氮缺钾,适宜发生条件
香蕉轴腐病,温暖高湿,适宜发生条件
香蕉花叶心腐病,雨日少,适宜发生条件
香蕉花叶心腐病,日光充足,适宜发生条件
香蕉花叶心腐病,霜雪少,适宜发生条件
香蕉花叶心腐病,春雨偏迟,适宜发生条件
香蕉束顶病,晴天干燥,适宜发生条件
樱桃褐腐病,透光通风差,适宜发生条件
樱桃灰霉病,通风不良,适宜发生条件
樱桃灰霉病,光照不足,适宜发生条件
樱桃斑流胶病,施肥不当,适宜发生条件
梅溃疡病,地势低洼积水,适宜发生条件
梅叶炭疽病,多雨潮湿,适宜发生条件
梅黑星病,地势低湿,适宜发生条件
葡萄黑腐病,高湿,适宜发生条件
葡萄黑腐病,管理粗放,适宜发生条件
葡萄黑腐病,肥水不足,适宜发生条件
葡萄黑腐病,地势低洼,适宜发生条件
葡萄黑腐病,土壤黏重,适宜发生条件
葡萄黑腐病,通风排水不良,适宜发生条件
葡萄白腐病,高温高湿,适宜发生条件
葡萄白腐病,管理粗放,适宜发生条件
葡萄白腐病,地势低洼,适宜发生条件
葡萄白腐病,土质黏重,适宜发生条件
葡萄白腐病,排水不良,适宜发生条件
葡萄白腐病,土壤瘠薄,适宜发生条件
葡萄白腐病,杂草丛生,适宜发生条件
葡萄穗轴褐枯病,地势低洼,适宜发生条件
葡萄穗轴褐枯病,偏施氮肥,适宜发生条件
葡萄穗轴褐枯病,通风透光不良,适宜发生条件
葡萄穗轴褐枯病,管理不善,适宜发生条件
葡萄炭疽病,通风透光不良,适宜发生条件
葡萄炭疽病,地势低洼,适宜发生条件
葡萄炭疽病,土壤黏重,适宜发生条件
葡萄炭疽病,空气不流通,适宜发生条件
葡萄大房枯病,高温潮湿多雨,适宜发生条件
葡萄黑痘病,高湿,适宜发生条件
葡萄黑痘病,多雨,适宜发生条件
葡萄黑痘病,果园低洼,适宜发生条件
葡萄黑痘病,排水不良,适宜发生条件
葡萄黑痘病,管理粗放,适宜发生条件
葡萄黑痘病,枝叶郁闭,适宜发生条件
葡萄黑痘病,通风透光差,适宜发生条件
葡萄霜霉病,冷凉,适宜发生条件
葡萄霜霉病,多雨,适宜发生条件
葡萄霜霉病,秋季冷凉,适宜发生条件
葡萄霜霉病,潮湿,适宜发生条件
葡萄霜霉病,降雨多,适宜发生条件
葡萄霜霉病,雾重,适宜发生条件
葡萄霜霉病,田间郁闭,适宜发生条件
葡萄灰霉病,空气潮湿,适宜发生条件
葡萄白粉病,施氮肥过多,适宜发生条件
葡萄白粉病,果园郁闭,适宜发生条件
葡萄白粉病,通风透光不良,适宜发生条件
葡萄根癌病,土壤黏重,适宜发生条件
葡萄根癌病,排水不良,适宜发生条件
葡萄根癌病,土质疏松,适宜发生条件
葡萄根癌病,排水良好,适宜发生条件
葡萄缺铁病,管理粗放,适宜发生条件
猕猴桃褐色麻斑病,高温高湿,适宜发生条件
核桃树腐烂病,光照不良,适宜发生条件
核桃树腐烂病,土层瘠薄,适宜发生条件
核桃树腐烂病,土壤粘重,适宜发生条件
核桃树腐烂病,地下水位高,适宜发生条件
核桃树腐烂病,排水不良,适宜发生条件
核桃树腐烂病,肥料不足,适宜发生条件
核桃黑斑病,通风不良,适宜发生条件
核桃炭疽病,通风透光,适宜发生条件
核桃褐斑病,雨水多,适宜发生条件
核桃褐斑病,高温高湿,适宜发生条件
枣锈病,高温多雨,适宜发生条件
枣锈病,地势低洼,适宜发生条件
枣锈病,行间郁闭,适宜发生条件
枣焦叶病,高温高湿,适宜发生条件
枣炭疽病,管理粗放,适宜发生条件
枣树枝枯病,土壤瘠薄,适宜发生条件
枣树枝枯病,果园积水,适宜发生条件
枣树枝枯病,管理粗放,适宜发生条件
枣苗茎腐病,高温,适宜发生条件
枣苗茎腐病,高湿,适宜发生条件
枣树根朽病,下雨积水多,适宜发生条件
枣树根朽病,土壤黏重,适宜发生条件
枣树腐烂病,管理粗放,适宜发生条件
枣缩果病,高温,适宜发生条件
枣缩果病,高湿,适宜发生条件
枣树根癌病,土壤潮湿温暖,适宜发生条件
枣白腐病,高温高湿,适宜发生条件
枣裂果病,高温多雨,适宜发生条件
枣疯病,土壤干旱瘠薄,适宜发生条件
枣疯病,肥水条件差,适宜发生条件
枣疯病,管理粗放,适宜发生条件
山楂白粉病,夏季有雨凉爽,适宜发生条件
山楂立枯病,潮湿低温,适宜发生条件
桃褐斑穿孔病,低温多雨,适宜发生条件
桃褐斑穿孔病,低温多湿,适宜发生条件
桃缩叶病,低温多湿,适宜发生条件
桃霉斑穿孔病,低温多雨,适宜发生条件
桃黑星病,通风透光,适宜发生条件
桃炭疽病,多云,适宜发生条件
桃炭疽病,多雾,适宜发生条件
桃炭疽病,高湿,适宜发生条件
桃细菌性穿孔病,雨水频,适宜发生条件
桃细菌性穿孔病,果园郁闭,适宜发生条件
桃细菌性穿孔病,排水不良,适宜发生条件
桃细菌性穿孔病,土壤瘠薄板结,适宜发生条件
桃细菌性穿孔病,缺肥,适宜发生条件
桃树非侵染性流胶病,土壤偏碱,适宜发生条件
桃树非侵染性流胶病,地势低洼,适宜发生条件
桃树侵染性流胶病,土质瘠薄,适宜发生条件
桃树侵染性流胶病,肥水不足,适宜发生条件
桃树根朽病,土壤透气性,适宜发生条件
桃褐腐病,地势低洼,适宜发生条件
桃褐腐病,通风透光较差,适宜发生条件
桃白锈病,多雨潮湿,适宜发生条件
桃白锈病,排水不良,适宜发生条件
桃灰霉病,地势低洼,适宜发生条件
桃灰霉病,枝梢徒长郁闭,适宜发生条件
桃灰霉病,杂草丛生,适宜发生条件
桃灰霉病,通风透光不良,适宜发生条件
桃白纹羽病,土质黏重,适宜发生条件
桃白纹羽病,排水不良,适宜发生条件
桃树白绢病,土质黏重,适宜发生条件
桃树白绢病,排水不良,适宜发生条件
桃树白绢病,高温多雨,适宜发生条件
桃园根结线虫病,地势高而干燥,适宜发生条件
桃园根结线虫病,结构疏松,适宜发生条件
桃园根结线虫病,含盐量低,适宜发生条件
桃树缺氮症,杂草多,适宜发生条件
桃树缺氮症,氮肥施用不足,适宜发生条件
桃树缺磷症,土壤水分少,适宜发生条件
桃树缺钾症,地温偏低,适宜发生条件
桃树缺钾症,土壤酸性,适宜发生条件
桃树缺钾症,土壤过湿,适宜发生条件
桃树缺锌症,土壤pH值偏高或偏低,适宜发生条件
桃树缺钙症,土壤pH值偏高或偏低,适宜发生条件
桃树缺锰症,土壤呈碱性,适宜发生条件
桃树缺硼症,土壤瘠薄,适宜发生条件
李红点病,地势低洼,适宜发生条件
李红点病,土壤黏重,适宜发生条件
李红点病,管理粗放,适宜发生条件
李细菌性穿孔病,管理粗放,适宜发生条件
李树流胶病,施肥不当,适宜发生条件
杏树腐烂病,地势低洼,适宜发生条件
杏树腐烂病,土壤黏重,适宜发生条件
杏树腐烂病,施肥不,适宜发生条件
杏树腐烂病,磷钾肥不足,适宜发生条件
杏树腐烂病,氮肥过多,适宜发生条件
杏树腐烂病,树体郁闭,适宜发生条件
杏褐腐病,多雨高湿,适宜发生条件
杏树流胶病,施肥不当,适宜发生条件
杏树流胶病,土质黏重,适宜发生条件
杏树流胶病,土壤酸性过强,适宜发生条件
杏细菌性穿孔病,相对湿度70％,适宜发生条件
杏细菌性穿孔病,湿度小,适宜发生条件
杏细菌性穿孔病,雨水频,适宜发生条件
杏细菌性穿孔病,排水不良,适宜发生条件
杏细菌性穿孔病,通风透光差,适宜发生条件
杏细菌性穿孔病,偏施氮肥,适宜发生条件
苹果轮纹病,管理粗放,适宜发生条件
苹果轮纹病,树势衰弱,适宜发生条件
苹果轮纹病,黏重壤土,适宜发生条件
苹果轮纹病,偏酸,适宜发生条件
苹果灰斑病,高温高湿,适宜发生条件
苹果灰斑病,降雨多,适宜发生条件
苹果白星病,地势低洼,适宜发生条件
苹果白星病,土质黏重,适宜发生条件
苹果白星病,排水不良,适宜发生条件
苹果轮斑病,管理粗放,适宜发生条件
苹果树枝溃疡病,潮湿,适宜发生条件
苹果树枝溃疡病,湿度大,适宜发生条件
苹果树枝溃疡病,地势低洼,适宜发生条件
苹果树枝溃疡病,土壤较黏重,适宜发生条件
苹果霉心病,矿质营养不,适宜发生条件
苹果霉心病,地势低洼,适宜发生条件
苹果霉心病,树冠郁闭,适宜发生条件
苹果霉心病,树势衰弱,适宜发生条件
苹果花腐病,土壤黏重,适宜发生条件
苹果花腐病,排水不良,适宜发生条件
苹果炭疽病,高温,适宜发生条件
苹果炭疽病,高湿,适宜发生条件
苹果炭疽病,排水不良,适宜发生条件
苹果炭疽病,树冠郁闭,适宜发生条件
苹果疫腐病,高温高湿,适宜发生条件
苹果疫腐病,树体郁闭,适宜发生条件
苹果疫腐病,杂草丛生,适宜发生条件
苹果疫腐病,树势较弱,适宜发生条件
苹果疫腐病,地势低洼,适宜发生条件
苹果煤污病,高温多雨,适宜发生条件
苹果煤污病,修剪不当,适宜发生条件
苹果煤污病,低洼积水,适宜发生条件
苹果煤污病,树冠过密,适宜发生条件
苹果煤污病,果园杂草高,适宜发生条件
苹果蝇粪病,高温多雨,适宜发生条件
苹果蝇粪病,低洼积水,适宜发生条件
苹果蝇粪病,树冠过密,适宜发生条件
苹果黑点病,高温高湿,适宜发生条件
苹果疱性溃疡病,土壤板结,适宜发生条件
苹果褐斑病,地势低洼,适宜发生条件
苹果褐斑病,树冠郁闭,适宜发生条件
苹果斑点落叶病,空气湿度大,适宜发生条件
苹果斑点落叶病,高温闷热,适宜发生条件
苹果斑点落叶病,果园密植,适宜发生条件
苹果斑点落叶病,树冠郁闭,适宜发生条件
苹果斑点落叶病,杂草丛生,适宜发生条件
苹果斑点落叶病,树势较弱,适宜发生条件
苹果斑点落叶病,地势低洼,适宜发生条件
苹果白粉病,春季温暖干旱,适宜发生条件
苹果白粉病,夏季多雨凉爽,适宜发生条件
苹果白粉病,秋季晴朗,适宜发生条件
苹果白粉病,树冠郁闭,适宜发生条件
苹果白粉病,通风透光不良,适宜发生条件
苹果白粉病,偏施氮肥,适宜发生条件
苹果环纹叶枯病,多雨潮湿,适宜发生条件
苹果环纹叶枯病,冷凉,适宜发生条件
苹果银叶病,阴雨连绵,适宜发生条件
苹果银叶病,排水良好,适宜发生条件
苹果银叶病,土壤黏重,适宜发生条件
苹果银叶病,地下水位高,适宜发生条件
苹果银叶病,排水不良,适宜发生条件
苹果树赤衣病,温暖,适宜发生条件
苹果树赤衣病,多雨,适宜发生条件
苹果树赤衣病,潮湿,适宜发生条件
苹果树赤衣病,土壤黏重,适宜发生条件
苹果树地衣病,通风透光不良,适宜发生条件
苹果树紫纹羽病,土壤干旱,适宜发生条件
苹果树紫纹羽病,排水不良,适宜发生条件
苹果树紫纹羽病,酸性土壤,适宜发生条件
苹果树紫纹羽病,土壤板结,适宜发生条件
苹果树紫纹羽病,杂草丛生,适宜发生条件
苹果树紫纹羽病,树冠郁闭,适宜发生条件
苹果树紫纹羽病,通风透光不良,适宜发生条件
苹果树白绢病,高温高湿,适宜发生条件
苹果树白绢病,排水不畅,适宜发生条件
苹果圆斑根腐病,土壤干旱,适宜发生条件
苹果圆斑根腐病,水土大,适宜发生条件
苹果圆斑根腐病,质地板,适宜发生条件
苹果圆斑根腐病,通气性不好,适宜发生条件
苹果苗立枯病,土壤黏重,适宜发生条件
苹果苗立枯病,地势低洼,适宜发生条件
苹果苗立枯病,排水不良,适宜发生条件
苹果苗立枯病,阴湿多雨,适宜发生条件
苹果泡斑病,气温高,适宜发生条件
苹果泡斑病,湿度大,适宜发生条件
苹果泡斑病,多雨,适宜发生条件
苹果粗皮果病,潮湿多阴,适宜发生条件
苹果花叶病,高温多雨,适宜发生条件
苹果花叶病,土壤干旱,适宜发生条件
苹果花叶病,水肥不足,适宜发生条件
苹果树再植病,土壤结构不良,适宜发生条件
苹果树再植病,通气性差,适宜发生条件
苹果树再植病,干旱,适宜发生条件
苹果树再植病,营养失衡,适宜发生条件
苹果缺铁黄化症,土壤黏重,适宜发生条件
苹果缺铁黄化症,排水差,适宜发生条件
苹果缺铁黄化症,地下水位高,适宜发生条件
苹果缺铁黄化症,春季多雨,适宜发生条件
苹果缺氮症,土壤瘠薄,适宜发生条件
苹果缺氮症,管理粗放,适宜发生条件
苹果缺钾症,土壤过湿,适宜发生条件
苹果缺钙症,土壤干燥,适宜发生条件
苹果缺钙症,湿度低,适宜发生条件
苹果果锈,地势低洼,适宜发生条件
苹果果锈,土质黏重,适宜发生条件
苹果果锈,树势衰弱,适宜发生条件
二斑叶螨,高温,适宜发生条件
二斑叶螨,低湿,适宜发生条件
梨黑星病,地势低洼,适宜发生条件
梨黑星病,树冠密,适宜发生条件
梨黑星病,通风不好,适宜发生条件
梨树干枯病,地势低洼,适宜发生条件
梨火疫病,久旱遇雨,适宜发生条件
梨火疫病,浇水过度,适宜发生条件
梨火疫病,地势低洼,适宜发生条件
梨锈水病,高温高湿,适宜发生条件
梨白粉病,夏季有雨凉爽,适宜发生条件
梨白粉病,密，土壤,适宜发生条件
梨白粉病,重，肥料,适宜发生条件
梨白粉病,其是钾肥,适宜发生条件
梨树疫病,高温多雨,适宜发生条件
梨炭疽病,相对湿度大于70%,适宜发生条件
梨炭疽病,地势低洼,适宜发生条件
梨炭疽病,土质黏重,适宜发生条件
梨炭疽病,排水不良,适宜发生条件
梨褐斑病,雨水早,适宜发生条件
梨黑斑病,排水不良,适宜发生条件
梨煤污病,低洼积水,适宜发生条件
梨煤污病,通风透光差,适宜发生条件
梨褐腐病,高温高湿,适宜发生条件
梨白纹羽病,管理粗放,适宜发生条件
梨白纹羽病,低洼渍水,适宜发生条件
梨白纹羽病,偏施氮肥,适宜发生条件
梨顶腐病,土壤干燥,适宜发生条件
梨顶腐病,地势低注,适宜发生条件
蘑菇绿霉病,高温高湿,适宜发生条件
蘑菇菌盖斑点病,高温高湿,适宜发生条件
蘑菇菌盖斑点病,通风不良,适宜发生条件
蘑菇软腐病,低温高湿,适宜发生条件
蘑菇菌丝徒长,通风不良,适宜发生条件
蘑菇菌丝徒长,空气湿度大,适宜发生条件
蘑菇畸形,通风不良,适宜发生条件
草菇折翅菌蚊,于高温高,适宜发生条件
食菌瘿蚊,相对湿度在70～80%,适宜发生条件
食菌瘿蚊,相对湿度68%,适宜发生条件
平菇软腐病,高温,适宜发生条件
平菇软腐病,通风不良,适宜发生条件
平菇萎菇,空气湿度过低,适宜发生条件
香菇蛛网丝枝霉病,菇房高温高湿,适宜发生条件
香菇蛛网丝枝霉病,通风不良,适宜发生条件
香菇绿霉病,高温高湿度,适宜发生条件
香菇畸形菇,光照不足,适宜发生条件
香菇畸形菇,温度不够,适宜发生条件
香菇畸形菇,通风不良,适宜发生条件
鸡腿菇绿霉病,通气不良,适宜发生条件
杏鲍菇畸形,湿度过低,适宜发生条件
木霉,通气不良,适宜发生条件
黄瘤孢霉,高湿,适宜发生条件
粘菌,高温高湿,适宜发生条件
粘菌,通风不良,适宜发生条件
鬼伞,喜高温,适宜发生条件
地碗菌,通风不畅,适宜发生条件
西瓜蔓枯病,地势低洼,适宜发生条件
西瓜蔓枯病,雨后积水,适宜发生条件
西瓜蔓枯病,通风不良,适宜发生条件
西瓜蔓枯病,湿度过高,适宜发生条件
西瓜枯萎病,高温高湿,适宜发生条件
西瓜炭疽病,相对湿度90%,适宜发生条件
西瓜炭疽病,地势低洼,适宜发生条件
西瓜炭疽病,排水不良,适宜发生条件
西瓜炭疽病,氮肥过多,适宜发生条件
西瓜炭疽病,通风不良,适宜发生条件
西瓜叶枯病,相对湿度高于90%,适宜发生条件
西瓜绵腐病,土温低,适宜发生条件
西瓜绵腐病,高湿,适宜发生条件
西瓜细菌性果斑病,多雨,适宜发生条件
西瓜细菌性果斑病,高湿,适宜发生条件
西瓜细菌性果斑病,大水漫灌,适宜发生条件
西瓜病毒病,干旱,适宜发生条件
西瓜病毒病,光照充足,适宜发生条件
西瓜猝倒病,土壤潮湿,适宜发生条件
西瓜白粉病,旱与高温,适宜发生条件
西瓜镰刀菌根腐病,低温,适宜发生条件
西瓜镰刀菌根腐病,高湿,适宜发生条件
西瓜粘菌病,潮湿,适宜发生条件
西瓜粘菌病,雨水多,适宜发生条件
西瓜缺素症,地温低,适宜发生条件
西瓜缺素症,日照不足,适宜发生条件
西瓜沤根,高温高湿,适宜发生条件
西瓜沤根,土壤含水量高,适宜发生条件
西瓜沤根,排水不良,适宜发生条件
西瓜沤根,土壤高温高湿,适宜发生条件
西瓜粗蔓病,雨水过量,适宜发生条件
西瓜粗蔓病,阳光不充足,适宜发生条件
西瓜煤污病,光照弱,适宜发生条件
西瓜煤污病,空气湿度大,适宜发生条件
西瓜煤污病,高温高湿,适宜发生条件
斜纹夜蛾,相对湿度75％～80%,适宜发生条件
棉铃虫,高温多雨,适宜发生条件
棉铃虫,水肥条件好,适宜发生条件
茶黄螨,相对湿度80%,适宜发生条件
朱砂叶螨,最适相对湿度为35%,适宜发生条件
小地老虎,土壤湿度大,适宜发生条件
甜瓜白粉病,温暖湿闷,适宜发生条件
甜瓜霜霉病,浇水过量,适宜发生条件
甜瓜霜霉病,浇水后下雨,适宜发生条件
甜瓜霜霉病,地下水位高,适宜发生条件
甜瓜疫病,围内,适宜发生条件
甜瓜疫病,高湿,适宜发生条件
甜瓜猝倒病,土温低,适宜发生条件
甜瓜猝倒病,高湿,适宜发生条件
甜瓜炭疽病,湿度90%左右,适宜发生条件
甜瓜炭疽病,氮肥过量,适宜发生条件
甜瓜叶枯病,土壤瘠薄,适宜发生条件
甜瓜蔓枯病,高温,适宜发生条件
甜瓜蔓枯病,高湿,适宜发生条件
甜瓜蔓枯病,通风不良,适宜发生条件
甜瓜枯萎病,土壤黏重,适宜发生条件
甜瓜枯萎病,地势低,适宜发生条件
甜瓜枯萎病,排水不良,适宜发生条件
甜瓜枯萎病,管理粗,适宜发生条件
甜瓜炭腐病,高温,适宜发生条件
甜瓜炭腐病,高湿,适宜发生条件
甜瓜黑斑病,土壤瘠薄,适宜发生条件
甜瓜红粉病,光照不足,适宜发生条件
甜瓜红粉病,通风不良,适宜发生条件
甜瓜镰刀菌果腐病,高温多雨,适宜发生条件
甜瓜煤污病,光照弱,适宜发生条件
甜瓜煤污病,空气湿度大,适宜发生条件
甜瓜煤污病,高温高湿,适宜发生条件
甜瓜瓜笄霉果腐病,高温高湿,适宜发生条件
甜瓜瓜笄霉果腐病,高湿,适宜发生条件
甜瓜瓜笄霉果腐病,日照不足,适宜发生条件
甜瓜瓜笄霉果腐病,雨后积水,适宜发生条件
苹果树干腐病,偏施氮肥,适宜发生条件
豌豆炭疽病,排水不良,适宜发生条件
豆秆黑潜蝇,多雨多湿,适宜发生条件
花蓟马,潮湿,适宜发生条件
豌豆修尾蚜,地势低洼,适宜发生条件
豌豆修尾蚜,排水不良,适宜发生条件
豌豆修尾蚜,土壤潮湿,适宜发生条件
豌豆修尾蚜,管理粗放,适宜发生条件
豌豆修尾蚜,干旱,适宜发生条件
豌豆修尾蚜,少雨,适宜发生条件
扁豆褐斑病,高温,适宜发生条件
扁豆褐斑病,高湿,适宜发生条件
扁豆花腐病,地势低洼,适宜发生条件
扁豆炭疽病,地势低洼,适宜发生条件
扁豆茎枯病,高温多湿,适宜发生条件
扁豆茎枯病,地势低洼,适宜发生条件
扁豆细菌性疫病,高温多雨,适宜发生条件
扁豆细菌性疫病,大水漫灌,适宜发生条件
扁豆细菌性疫病,肥力不足,适宜发生条件
扁豆立枯病,地势低洼,适宜发生条件
扁豆立枯病,地下水位高,适宜发生条件
扁豆红斑病,高温高湿,适宜发生条件
扁豆黑斑病,温暖多湿,适宜发生条件
扁豆淡褐斑病,多雨,适宜发生条件
扁豆绵疫病,地势低洼,适宜发生条件
扁豆绵疫病,土壤潮湿,适宜发生条件
扁豆绵疫病,通风透光不好,适宜发生条件
扁豆枯萎病,高温多湿,适宜发生条件
扁豆枯萎病,土质粘重,适宜发生条件
蚕豆锈病,温暖潮湿,适宜发生条件
蚕豆锈病,低洼积水,适宜发生条件
蚕豆锈病,土质黏重,适宜发生条件
蚕豆赤斑病,田间湿度大,适宜发生条件
蚕豆赤斑病,温度适宜,适宜发生条件
蚕豆白粉病,多雨,适宜发生条件
蚕豆炭疽病,温凉多湿,适宜发生条件
