entity,condition,relation
蚕豆炭疽病,多雨多露,适宜发生条件
蚕豆炭疽病,地势低洼,适宜发生条件
蚕豆炭疽病,土壤黏重,适宜发生条件
蚕豆茎疫病,低温多湿,适宜发生条件
蚕豆茎疫病,地势低洼,适宜发生条件
蚕豆茎疫病,种植粗放,适宜发生条件
蚕豆茎疫病,土壤肥力差,适宜发生条件
蚕豆轮纹病,多雨潮湿,适宜发生条件
蚕豆轮纹病,土壤黏重,适宜发生条件
蚕豆轮纹病,排水不良,适宜发生条件
蚕豆立枯病,土壤过湿或过干,适宜发生条件
蚕豆修尾蚜,地势低洼,适宜发生条件
蚕豆修尾蚜,排水不良,适宜发生条件
蚕豆修尾蚜,土壤潮湿,适宜发生条件
蚕豆修尾蚜,管理粗放,适宜发生条件
蚕豆修尾蚜,干旱,适宜发生条件
蚕豆修尾蚜,少雨,适宜发生条件
黄花菜锈病,温暖湿润,适宜发生条件
黄花菜锈病,肥水不均,适宜发生条件
黄花菜锈病,光照不足,适宜发生条件
黄花菜白绢病,湿度大,适宜发生条件
黄花菜白绢病,排水不良,适宜发生条件
黄花菜黑斑病,温暖多雨,适宜发生条件
黄花菜霉杆病,土壤粘重,适宜发生条件
黄花菜根腐病,土温低,适宜发生条件
黄花菜根腐病,湿度大,适宜发生条件
黄花菜根腐病,排水不良,适宜发生条件
枸杞白粉病,郁闭透光性差,适宜发生条件
枸杞灰斑病,高温多雨,适宜发生条件
枸杞灰斑病,土壤湿度大,适宜发生条件
枸杞灰斑病,空气潮湿,适宜发生条件
枸杞灰斑病,土壤缺肥,适宜发生条件
枸杞根腐病,地势低洼积水,适宜发生条件
枸杞根腐病,土壤粘重,适宜发生条件
枸杞根腐病,耕作粗放,适宜发生条件
马铃薯瓢虫,湿度适中,适宜发生条件
三点盲蝽,相对湿度为60%,适宜发生条件
芦笋立枯病,土壤过湿,适宜发生条件
芦笋紫纹羽病,低洼潮湿,适宜发生条件
甘蓝夜蛾,相对湿度70%,适宜发生条件
莲藕腐败病,土壤黏重,适宜发生条件
莲藕腐败病,通气性差,适宜发生条件
莲藕尾孢褐斑病,高温多雨,适宜发生条件
莲藕褐纹病,高温多雨,适宜发生条件
莲藕炭疽病,高湿高温,适宜发生条件
莲藕叶疫病,高温多雨,适宜发生条件
莲藕叶疫病,空气潮湿,适宜发生条件
莲缢管蚜,温度高湿,适宜发生条件
莲缢管蚜,高温干燥,适宜发生条件
茭白纹枯病,高温多湿,适宜发生条件
茭白纹枯病,降雨多,适宜发生条件
茭白纹枯病,田间湿度大,适宜发生条件
茭白瘟病,土壤温度低,适宜发生条件
茭白瘟病,连阴雨,适宜发生条件
茭白瘟病,光照不足,适宜发生条件
茭白黑粉病,高温,适宜发生条件
茭白黑粉病,多雨,适宜发生条件
茭白黑粉病,郁闷高湿,适宜发生条件
茭白黑粉病,灌水不当,适宜发生条件
慈姑黑粉病,高温高湿,适宜发生条件
慈姑斑纹病,温暖多湿,适宜发生条件
慈姑褐斑病,温暖多湿,适宜发生条件
荸荠杆枯病,雨水多,适宜发生条件
荸荠杆枯病,湿度大,适宜发生条件
荸荠茎腐病,土质瘠薄,适宜发生条件
荸荠茎腐病,土层浅或缺肥,适宜发生条件
荸荠茎腐病,地势低洼,适宜发生条件
荸荠茎腐病,灌水过深,适宜发生条件
蘑菇褐腐病,高温高湿,适宜发生条件
蘑菇褐腐病,通风不畅,适宜发生条件
蘑菇褐斑病,高温高湿,适宜发生条件
蘑菇褐斑病,通风不畅,适宜发生条件
蘑菇猝倒病,高温高湿,适宜发生条件
佛手瓜蔓枯病,通风透光差,适宜发生条件
佛手瓜叶点病,通风不好,适宜发生条件
佛手瓜叶点病,光照不足,适宜发生条件
佛手瓜叶点病,排水不良,适宜发生条件
佛手瓜叶点病,株间湿度大,适宜发生条件
苦瓜白斑病,高温多雨,适宜发生条件
苦瓜霜霉病,低温阴雨,适宜发生条件
苦瓜霜霉病,雨水多,适宜发生条件
苦瓜炭疽病,通风条件差,适宜发生条件
苦瓜炭疽病,施氮肥过多,适宜发生条件
苦瓜炭疽病,大水漫灌,适宜发生条件
苦瓜叶枯病,雨量大,适宜发生条件
苦瓜叶枯病,相对湿度高于90%,适宜发生条件
苦瓜叶枯病,偏施氮肥,适宜发生条件
苦瓜叶枯病,排水不良,适宜发生条件
苦瓜叶枯病,湿气滞留,适宜发生条件
苦瓜斑点病,高温多湿,适宜发生条件
苦瓜斑点病,田间郁蔽,适宜发生条件
苦瓜枯萎病,地势低洼,适宜发生条件
苦瓜根腐病,高温,适宜发生条件
苦瓜根腐病,高湿,适宜发生条件
苦瓜白绢病,土质黏重,适宜发生条件
苦瓜白绢病,地势低洼,适宜发生条件
苦瓜白绢病,高温多湿,适宜发生条件
苦瓜猝倒病,低温,适宜发生条件
苦瓜猝倒病,高湿,适宜发生条件
苦瓜猝倒病,光照不足,适宜发生条件
苦瓜猝倒病,湿度偏大,适宜发生条件
苦瓜菌核病,低温,适宜发生条件
苦瓜菌核病,湿度大,适宜发生条件
苦瓜蔓枯病,高温多雨,适宜发生条件
苦瓜蔓枯病,种植过密,适宜发生条件
苦瓜蔓枯病,通风不良,适宜发生条件
苦瓜立枯病,光照不足,适宜发生条件
苦瓜立枯病,高温,适宜发生条件
苦瓜立枯病,高湿,适宜发生条件
苦瓜细菌性角斑病,相对湿度为70%以上,适宜发生条件
苦瓜细菌性角斑病,地势低洼,适宜发生条件
苦瓜细菌性角斑病,排水不良,适宜发生条件
苦瓜病毒病,高温,适宜发生条件
苦瓜病毒病,干旱,适宜发生条件
菜豆红斑病,高温高湿,适宜发生条件
菜豆白绢病,土壤湿度大,适宜发生条件
菜豆炭腐病,高温多湿,适宜发生条件
菜豆炭腐病,地势低洼,适宜发生条件
菜豆炭腐病,土壤湿度大,适宜发生条件
菜豆锈病,排水不良,适宜发生条件
菜豆锈病,种植过密,适宜发生条件
菜豆锈病,通风不畅,适宜发生条件
菜豆炭疽病,地势低洼窝风,适宜发生条件
菜豆黑斑病,温暖多湿,适宜发生条件
菜豆褐斑病,高温多雨,适宜发生条件
菜豆根腐病,土质黏重,适宜发生条件
菜豆枯萎病,地势低洼,适宜发生条件
菜豆枯萎病,灌水频繁,适宜发生条件
菜豆枯萎病,田间湿度大,适宜发生条件
菜豆枯萎病,肥力不足,适宜发生条件
菜豆枯萎病,管理粗放,适宜发生条件
菜豆细菌性疫病,高温多雨,适宜发生条件
菜豆细菌性疫病,温度高,适宜发生条件
菜豆细菌性疫病,湿度大,适宜发生条件
菜豆细菌性晕疫病,潮湿,适宜发生条件
菜豆斑点病,温暖多湿,适宜发生条件
菜豆白粉病,潮湿,适宜发生条件
菜豆白粉病,多雨,适宜发生条件
菜豆白粉病,湿度高,适宜发生条件
菜豆污煤病,高温,适宜发生条件
菜豆污煤病,高湿,适宜发生条件
菜豆根霉软腐病,高温高湿,适宜发生条件
菜豆根霉软腐病,阴雨连绵,适宜发生条件
菜豆根霉软腐病,田间积水,适宜发生条件
菜豆根霉软腐病,湿气滞留,适宜发生条件
菜豆(链格孢)黑斑病,温暖多湿,适宜发生条件
豆叶螨,天气干旱,适宜发生条件
截形叶螨,高温低湿,适宜发生条件
豇豆疫病,地势低洼,适宜发生条件
豇豆疫病,土壤潮湿,适宜发生条件
豇豆疫病,通风透光不好,适宜发生条件
豇豆煤霉病,高温,适宜发生条件
豇豆煤霉病,高湿,适宜发生条件
豇豆枯萎病,土壤黏重,适宜发生条件
豇豆枯萎病,土势低洼积水,适宜发生条件
豇豆锈病,阴雨高湿度,适宜发生条件
豇豆锈病,低洼积水,适宜发生条件
豇豆锈病,种植过密,适宜发生条件
豇豆锈病,通风不良,适宜发生条件
豇豆白粉病,缺磷少钾,适宜发生条件
豇豆白绢病,土壤湿度大,适宜发生条件
豇豆基腐病,通风透光不良,适宜发生条件
豇豆根腐病,地势低洼,适宜发生条件
豇豆根腐病,土质黏重,适宜发生条件
豇豆褐斑病,高温多雨,适宜发生条件
豇豆褐斑病,栽植过密,适宜发生条件
豇豆褐斑病,通风不良,适宜发生条件
豇豆褐斑病,偏施氮肥,适宜发生条件
豇豆红斑病,高温高湿,适宜发生条件
豇豆斑枯病,温暖高湿,适宜发生条件
豇豆立枯病,通风透光不良,适宜发生条件
豇豆根结线虫病,土壤不过干,适宜发生条件
豇豆细菌性疫病,高温高湿,适宜发生条件
豇豆细菌性疫病,雾大露重,适宜发生条件
豇豆细菌性疫病,大水漫灌,适宜发生条件
豇豆细菌性疫病,肥力不足,适宜发生条件
豇豆炭疽病,多雨,适宜发生条件
豇豆炭疽病,多露,适宜发生条件
豇豆炭疽病,多雾冷凉多湿,适宜发生条件
豇豆炭疽病,土壤黏重,适宜发生条件
豇豆轮纹病,高温多湿,适宜发生条件
豇豆茎枯病,高温多湿,适宜发生条件
豇豆茎枯病,地势低洼,适宜发生条件
豇豆茎枯病,土壤湿度大,适宜发生条件
豇豆灰斑病,通风透气不良,适宜发生条件
豇豆类菌原体丛枝病,地势低洼,适宜发生条件
豇豆类菌原体丛枝病,排水不良,适宜发生条件
豇豆类菌原体丛枝病,土壤黏重,适宜发生条件
豇豆类菌原体丛枝病,偏酸,适宜发生条件
豇豆类菌原体丛枝病,耕作粗放,适宜发生条件
毛豆疫病,地势低洼,适宜发生条件
毛豆疫病,土壤为黏土,适宜发生条件
毛豆疫病,排排水不良,适宜发生条件
豆杆黑潜蝇,多雨多湿,适宜发生条件
毛豆褐斑病,温暖多雨,适宜发生条件
毛豆褐斑病,通风透光不好,适宜发生条件
毛豆褐斑病,排水不良,适宜发生条件
毛豆黑斑病,高温多湿,适宜发生条件
毛豆霜霉病,低温,适宜发生条件
毛豆霜霉病,多雨,适宜发生条件
毛豆根腐病,排水不良,适宜发生条件
毛豆赤霉病,高温多雨,适宜发生条件
毛豆赤霉病,湿度大,适宜发生条件
毛豆枯萎病,高温多湿,适宜发生条件
毛豆枯萎病,土质黏重,适宜发生条件
毛豆枯萎病,土壤板结,适宜发生条件
毛豆病毒病,气候干旱,适宜发生条件
毛豆菌核病,通风透光不良,适宜发生条件
毛豆猝倒病,土温低,适宜发生条件
毛豆猝倒病,高湿,适宜发生条件
毛豆立枯病,低温多雨,适宜发生条件
毛豆立枯病,低洼积水,适宜发生条件
毛豆立枯病,高温高湿,适宜发生条件
毛豆立枯病,光照不足,适宜发生条件
毛豆茎枯病,高温高湿,适宜发生条件
毛豆菌核疫病,潮湿,适宜发生条件
毛豆菌核疫病,土壤湿度大,适宜发生条件
毛豆菌核疫病,作物遮荫,适宜发生条件
毛豆煤斑病,田间高湿,适宜发生条件
毛豆煤斑病,高温,适宜发生条件
毛豆煤斑病,多雨,适宜发生条件
毛豆紫斑病,通风透光不良,适宜发生条件
豌豆褐纹病,土壤黏重,适宜发生条件
豌豆褐纹病,湿度过大,适宜发生条件
豌豆褐纹病,氮肥过多,适宜发生条件
豌豆白粉病,温暖干燥,适宜发生条件
豌豆白粉病,通风透光不良,适宜发生条件
豌豆基腐病,高温高湿,适宜发生条件
豌豆黑根病,高温高湿,适宜发生条件
西葫芦灰霉病,光照不足,适宜发生条件
西葫芦灰霉病,气温偏低,适宜发生条件
西葫芦枯萎病,空气湿度大,适宜发生条件
西葫芦枯萎病,相对湿度小,适宜发生条件
西葫芦枯萎病,排水不良,适宜发生条件
西葫芦枯萎病,浇水过多,适宜发生条件
西葫芦枯萎病,土壤过分干旱,适宜发生条件
西葫芦枯萎病,土壤偏酸,适宜发生条件
西葫芦蔓枯病,高温多湿,适宜发生条件
西葫芦蔓枯病,天气闷热,适宜发生条件
西葫芦蔓枯病,雨后积水,适宜发生条件
西葫芦蔓枯病,大水勤浇,适宜发生条件
西葫芦蔓枯病,缺肥,适宜发生条件
西葫芦蔓枯病,光照不足,适宜发生条件
西葫芦蔓枯病,通风不良,适宜发生条件
西葫芦绵腐病,土温低,适宜发生条件
西葫芦绵腐病,湿度大,适宜发生条件
西葫芦菌核病,低温,适宜发生条件
西葫芦菌核病,湿度大,适宜发生条件
西葫芦菌核病,排水不良,适宜发生条件
西葫芦褐腐病,低温高湿,适宜发生条件
西葫芦褐腐病,日照不足,适宜发生条件
西葫芦病毒病,高温,适宜发生条件
西葫芦病毒病,高湿,适宜发生条件
西葫芦曲霉病,高温高湿,适宜发生条件
西葫芦曲霉病,土壤温湿度变,适宜发生条件
冬瓜白粉病,雨后,适宜发生条件
冬瓜黑星病,夜温低,适宜发生条件
冬瓜炭疽病,空气湿度大,适宜发生条件
冬瓜叶斑病,温暖多湿,适宜发生条件
冬瓜疫病,地势低洼,适宜发生条件
冬瓜疫病,排水不良,适宜发生条件
冬瓜蔓枯病,通风透光差,适宜发生条件
冬瓜褐腐病,高温高湿,适宜发生条件
冬瓜褐腐病,高湿,适宜发生条件
冬瓜褐腐病,日照不足,适宜发生条件
冬瓜褐腐病,雨后积水,适宜发生条件
冬瓜绵腐病,雨，湿,适宜发生条件
冬瓜(叶点霉)叶斑病,温暖多湿,适宜发生条件
冬瓜裂果,浇水不均,适宜发生条件
冬瓜立枯病,高湿,适宜发生条件
冬瓜立枯病,阴雨,适宜发生条件
冬瓜立枯病,光照不足,适宜发生条件
冬瓜黑斑病,田间管理粗放,适宜发生条件
冬瓜菌核病,相对湿度高于85%,适宜发生条件
冬瓜根腐病,高温,适宜发生条件
冬瓜根腐病,高湿,适宜发生条件
瓠瓜霜霉病,田间湿度大,适宜发生条件
瓠瓜霜霉病,通风不良,适宜发生条件
瓠瓜霜霉病,地势低洼,适宜发生条件
瓠瓜霜霉病,土壤质地差,适宜发生条件
瓠瓜霜霉病,肥料不足,适宜发生条件
瓠瓜霜霉病,栽培过密,适宜发生条件
瓠瓜霜霉病,湿度过高,适宜发生条件
瓠瓜白粉病,空气相对湿度45%,适宜发生条件
瓠瓜白粉病,通风不好,适宜发生条件
瓠瓜白粉病,光照不足,适宜发生条件
瓠瓜白粉病,排水不良,适宜发生条件
瓠瓜白粉病,株间湿度大,适宜发生条件
瓠瓜炭疽病,空气湿度大,适宜发生条件
瓠瓜炭疽病,氮肥过多,适宜发生条件
瓠瓜炭疽病,大水漫灌,适宜发生条件
瓠瓜炭疽病,通风不良,适宜发生条件
瓠瓜灰霉病,湿度大,适宜发生条件
瓠瓜枯萎病,土质黏重,适宜发生条件
瓠瓜枯萎病,地势低洼,适宜发生条件
瓠瓜枯萎病,排水不良,适宜发生条件
瓠瓜枯萎病,地温低,适宜发生条件
瓠瓜枯萎病,耕作粗放,适宜发生条件
瓠瓜枯萎病,土壤过酸,适宜发生条件
瓠瓜褐腐病,高温高湿,适宜发生条件
瓠瓜褐腐病,低温高湿,适宜发生条件
瓠瓜褐腐病,日照不足,适宜发生条件
瓠瓜褐腐病,雨后积水,适宜发生条件
瓠瓜绵腐病,雨，湿,适宜发生条件
瓠瓜褐斑病,湿度高,适宜发生条件
瓠瓜褐斑病,通风不良,适宜发生条件
瓠瓜褐斑病,光照少,适宜发生条件
瓠瓜蔓枯病,通风透光差,适宜发生条件
瓠瓜煤污病,光照弱,适宜发生条件
瓠瓜煤污病,空气湿度大,适宜发生条件
瓠瓜煤污病,高温高湿,适宜发生条件
丝瓜枯萎病,土壤过分干旱,适宜发生条件
丝瓜枯萎病,质地黏重,适宜发生条件
丝瓜绵腐病,阴雨连绵,适宜发生条件
丝瓜绵腐病,地势低洼,适宜发生条件
丝瓜绵腐病,地下水位高,适宜发生条件
丝瓜细菌性角斑病,适宜相对湿度70%以上,适宜发生条件
丝瓜褐斑病,温暖高湿,适宜发生条件
丝瓜疫病,土壤黏重,适宜发生条件
丝瓜疫病,地势低洼,适宜发生条件
南瓜疫病,通风透,适宜发生条件
南瓜白粉病,田间湿度大,适宜发生条件
南瓜枯萎病,土壤过分干旱,适宜发生条件
南瓜白绢病,不利菌丝生长,适宜发生条件
南瓜斑点病,地势低洼,适宜发生条件
南瓜斑点病,株间郁闭,适宜发生条件
南瓜角斑病,多雨,适宜发生条件
南瓜角斑病,高湿,适宜发生条件
南瓜角斑病,大水漫灌,适宜发生条件
南瓜斑枯病,田间多雨,适宜发生条件
南瓜褐腐病,低温高湿,适宜发生条件
南瓜褐腐病,日照不足,适宜发生条件
南瓜化瓜,通风透光差,适宜发生条件
飞碟瓜褐腐病,低温高湿,适宜发生条件
飞碟瓜褐腐病,日照不足,适宜发生条件
飞碟瓜灰霉病,湿度大,适宜发生条件
飞碟瓜枯萎病,土壤过分干旱,适宜发生条件
飞碟瓜脐腐病,湿度低,适宜发生条件
佛手瓜白粉病,空气相对湿度45%,适宜发生条件
佛手瓜白粉病,通风不好,适宜发生条件
佛手瓜白粉病,光照不足,适宜发生条件
佛手瓜白粉病,排水不良,适宜发生条件
佛手瓜白粉病,株间湿度大,适宜发生条件
佛手瓜枯萎病,土质黏重,适宜发生条件
佛手瓜枯萎病,地势低洼,适宜发生条件
佛手瓜枯萎病,排水不良,适宜发生条件
佛手瓜枯萎病,地温低,适宜发生条件
佛手瓜枯萎病,耕作粗放,适宜发生条件
佛手瓜枯萎病,土壤过酸,适宜发生条件
辣椒枯萎病,高温高湿,适宜发生条件
辣椒枯萎病,土壤潮湿,适宜发生条件
辣椒枯萎病,黏重,适宜发生条件
辣椒枯萎病,微酸,适宜发生条件
辣椒枯萎病,排水不良,适宜发生条件
辣椒猝倒病,保温放风不当,适宜发生条件
辣椒猝倒病,地势低洼,适宜发生条件
辣椒猝倒病,排水不良,适宜发生条件
辣椒立枯病,温暖多湿,适宜发生条件
辣椒立枯病,浇水过多,适宜发生条件
辣椒根腐病,空气相对湿度较,适宜发生条件
辣椒细菌性叶斑病,高温高湿,适宜发生条件
辣椒细菌性叶斑病,排水不良,适宜发生条件
辣椒细菌性叶斑病,土壤贫瘠缺肥,适宜发生条件
辣椒青枯病,缺钾肥,适宜发生条件
辣椒病毒病,湿度60%,适宜发生条件
辣椒病毒病,高温,适宜发生条件
辣椒病毒病,干旱少雨,适宜发生条件
辣椒病毒病,土壤缺肥,适宜发生条件
辣椒白斑病,温暖潮湿,适宜发生条件
辣椒枯顶病毒病,管理粗放,适宜发生条件
辣椒枯顶病毒病,缺水,适宜发生条件
辣椒枯顶病毒病,干旱,适宜发生条件
辣椒日灼病,土壤缺水,适宜发生条件
辣椒日灼病,忽雨忽晴,适宜发生条件
辣椒日灼病,多雾,适宜发生条件
辣椒高温病,湿度低或,适宜发生条件
辣椒高温病,土壤缺水,适宜发生条件
茄子白粉病,温暖多湿,适宜发生条件
茄子白粉病,低洼潮湿,适宜发生条件
茄子白粉病,株间郁闭,适宜发生条件
茄子褐纹病,高温多雨,适宜发生条件
茄子褐纹病,地势低洼,适宜发生条件
茄子褐纹病,排水不良,适宜发生条件
茄子褐纹病,夏季多雨,适宜发生条件
茄子叶霉病,管理粗放,适宜发生条件
茄子叶霉病,通风不良,适宜发生条件
茄子炭疽病,地势低洼,适宜发生条件
茄子炭疽病,排水不良,适宜发生条件
茄子炭疽病,氮肥过多,适宜发生条件
茄子炭疽病,植株郁蔽,适宜发生条件
茄子炭疽病,通风不良,适宜发生条件
茄子白绢病,整地不细,适宜发生条件
茄子白绢病,管理粗放,适宜发生条件
茄子白绢病,浇水过多,适宜发生条件
茄子白绢病,地势低洼,适宜发生条件
茄子白绢病,排水不良,适宜发生条件
茄子褐色圆星病,温暖多湿,适宜发生条件
茄子褐色圆星病,低洼潮湿,适宜发生条件
茄子褐色圆星病,株间郁闭,适宜发生条件
茄子绵疫病,地势低洼,适宜发生条件
茄子绵疫病,土壤黏重,适宜发生条件
茄子绵疫病,通风不良,适宜发生条件
茄子猝倒病,低温,适宜发生条件
茄子猝倒病,高湿,适宜发生条件
茄子根腐病,高温,适宜发生条件
茄子根腐病,高湿,适宜发生条件
茄子根腐病,土壤黏重,适宜发生条件
茄子青枯病,高温高湿,适宜发生条件
茄子病毒病,高温干旱,适宜发生条件
茄子病毒病,管理粗放,适宜发生条件
茄子病毒病,田边杂草多,适宜发生条件
茄子交链孢果腐病,通风透光不好,适宜发生条件
茄子交链孢果腐病,肥力不足,适宜发生条件
茄子交链孢果腐病,耕作粗放,适宜发生条件
茄子交链孢果腐病,地势低洼积水,适宜发生条件
茄子交链孢果腐病,排水不良,适宜发生条件
茄子交链孢果腐病,土壤潮湿,适宜发生条件
茄子交链孢果腐病,高温,适宜发生条件
茄子交链孢果腐病,高湿,适宜发生条件
茄子交链孢果腐病,多雨,适宜发生条件
茄子交链孢果腐病,多雾,适宜发生条件
茄子交链孢果腐病,重露,适宜发生条件
茄子交链孢果腐病,日照不足,适宜发生条件
茄子褐斑病,高温高湿,适宜发生条件
茄子黑枯病,多湿,适宜发生条件
茄子赤星病,温暖潮湿,适宜发生条件
茄子细轮纹病,排水不良,适宜发生条件
茄子果实疫病,地势低洼,适宜发生条件
茄子果实疫病,排水不良,适宜发生条件
茄子花腐病,高温高湿,适宜发生条件
茄子花腐病,高湿,适宜发生条件
茄子花腐病,日照不足,适宜发生条件
茄子花腐病,雨后积水,适宜发生条件
茄子黑根霉果腐病,田间湿度大,适宜发生条件
茄子畸形果,氮肥施用过多,适宜发生条件
黄瓜霜霉病,湿度过高,适宜发生条件
黄瓜霜霉病,地势低洼,适宜发生条件
黄瓜霜霉病,土壤质地差,适宜发生条件
黄瓜霜霉病,肥料不足,适宜发生条件
黄瓜霜霉病,栽培过密,适宜发生条件
黄瓜霜霉病,通风不良,适宜发生条件
黄瓜疫病,地势低洼,适宜发生条件
黄瓜疫病,排水不良,适宜发生条件
黄瓜疫病,浇水过多,适宜发生条件
黄瓜黑星病,低温高湿,适宜发生条件
黄瓜黑星病,光照少,适宜发生条件
黄瓜黑星病,通风不良,适宜发生条件
黄瓜白粉病,相对湿度25%,适宜发生条件
黄瓜白粉病,最适相对湿度为75%,适宜发生条件
黄瓜白粉病,雨后干燥,适宜发生条件
黄瓜黑斑病,高温高湿,适宜发生条件
黄瓜黑斑病,通风透气不良,适宜发生条件
黄瓜靶斑病,通风透气不良,适宜发生条件
黄瓜靶斑病,土壤肥沃,适宜发生条件
黄瓜靶斑病,底肥充足,适宜发生条件
黄瓜靶斑病,肥力不足,适宜发生条件
黄瓜靶斑病,土壤贫瘠,适宜发生条件
黄瓜红粉病,光照不足,适宜发生条件
黄瓜红粉病,通风不良,适宜发生条件
黄瓜圆叶枯病,高温高湿,适宜发生条件
黄瓜圆叶枯病,菜地潮湿,适宜发生条件
黄瓜圆叶枯病,通风透光差,适宜发生条件
黄瓜圆叶枯病,肥料不足,适宜发生条件
黄瓜枯萎病,空气湿度大,适宜发生条件
黄瓜枯萎病,相对湿度小,适宜发生条件
黄瓜枯萎病,排水不良,适宜发生条件
黄瓜枯萎病,浇水过多,适宜发生条件
黄瓜枯萎病,土壤过分干旱,适宜发生条件
黄瓜枯萎病,土壤偏酸,适宜发生条件
黄瓜蔓枯病,高温多雨,适宜发生条件
黄瓜蔓枯病,通风不良,适宜发生条件
黄瓜蔓枯病,排水不良,适宜发生条件
黄瓜蔓枯病,密度过大,适宜发生条件
黄瓜蔓枯病,光照不足,适宜发生条件
黄瓜猝倒病,低温,适宜发生条件
黄瓜猝倒病,高湿,适宜发生条件
黄瓜猝倒病,光照不足,适宜发生条件
黄瓜猝倒病,湿度偏大,适宜发生条件
黄瓜菌核病,相对湿度高于85%,适宜发生条件
黄瓜细菌性角斑病,光照不足,适宜发生条件
黄瓜根结线虫病,地势高燥,适宜发生条件
黄瓜根结线虫病,土壤疏松,适宜发生条件
黄瓜根结线虫病,盐分低,适宜发生条件
黄瓜炭疽病,高温高湿,适宜发生条件
黄瓜炭疽病,管理粗放,适宜发生条件
黄瓜炭疽病,偏施氮肥,适宜发生条件
黄瓜灰霉病,高湿,适宜发生条件
黄瓜灰霉病,相对湿度在90%左右,适宜发生条件
黄瓜根腐病,高温,适宜发生条件
黄瓜根腐病,高湿,适宜发生条件
黄瓜细菌性枯萎病,低温高湿,适宜发生条件
黄瓜细菌性枯萎病,通风换气不良,适宜发生条件
黄瓜细菌性枯萎病,相对湿度在85%左右,适宜发生条件
黄瓜病毒病,日照强,适宜发生条件
黄瓜病毒病,干旱,适宜发生条件
黄瓜病毒病,缺水,适宜发生条件
黄瓜病毒病,缺肥,适宜发生条件
黄瓜斑点病,温暖多湿,适宜发生条件
黄瓜花腐病,高温高湿,适宜发生条件
黄瓜花腐病,高湿,适宜发生条件
黄瓜花腐病,日照不足,适宜发生条件
黄瓜花腐病,雨后积水,适宜发生条件
黄瓜软腐病,高温高湿,适宜发生条件
黄瓜叶烧病,相对湿度高于85%,适宜发生条件
黄瓜缺素症,地温低,适宜发生条件
黄瓜缺素症,土壤干旱,适宜发生条件
黄瓜缺素症,土壤多氮或多钾,适宜发生条件
黄瓜缺素症,土壤酸性过重,适宜发生条件
