entity,condition,relation
甘蓝夜蛾,相对湿度70%,适宜发生条件
芝麻立枯病,土壤湿度大,适宜发生条件
芝麻茎点枯病,偏施氮肥,适宜发生条件
芝麻茎点枯病,土壤潮湿,适宜发生条件
芝麻枯萎病,土温高,适宜发生条件
芝麻枯萎病,湿度大,适宜发生条件
芝麻叶枯病,土壤高湿,适宜发生条件
芝麻叶斑病,多雨潮湿,适宜发生条件
芝麻白粉病,温暖多湿,适宜发生条件
芝麻褐斑病,空气湿度90%,适宜发生条件
三点盲蝽,左右，相对湿度,适宜发生条件
向日葵菌核病,地势低洼,适宜发生条件
向日葵菌核病,通风不良,适宜发生条件
向日葵叶枯病,通风透光不好,适宜发生条件
向日葵叶枯病,地势低洼积水,适宜发生条件
向日葵叶枯病,排水不良,适宜发生条件
向日葵叶枯病,土壤潮湿,适宜发生条件
向日葵叶枯病,低温,适宜发生条件
向日葵叶枯病,高湿,适宜发生条件
蓖麻锈病,高温,适宜发生条件
蓖麻锈病,高湿,适宜发生条件
蓖麻白绢病,高温多雨,适宜发生条件
蓖麻枯萎病,高温高湿,适宜发生条件
蓖麻枯萎病,地势低洼,适宜发生条件
蓖麻枯萎病,排水不良,适宜发生条件
蓖麻枯萎病,土壤黏重,适宜发生条件
甘蔗赤腐病,高温多湿,适宜发生条件
甘蔗凤梨病,高温潮湿,适宜发生条件
甘蔗黄斑病,高温,适宜发生条件
甘蔗黄斑病,高湿,适宜发生条件
甘蔗黄斑病,通风透光不良,适宜发生条件
甘蔗黄斑病,地下水位高,适宜发生条件
甘蔗虎斑病,通透不良,适宜发生条件
甘蔗轮斑病,高温高湿,适宜发生条件
甘蔗褐条病,水湿充足,适宜发生条件
甘蔗绵蚜,相对湿度70%,适宜发生条件
甜菜立枯病,土壤温度较低,适宜发生条件
甜菜立枯病,湿度大,适宜发生条件
甜菜立枯病,土壤酸性,适宜发生条件
甜菜立枯病,土质黏重,适宜发生条件
甜菜立枯病,土壤贫瘠,适宜发生条件
甜菜立枯病,排水不良,适宜发生条件
甜菜褐斑病,地势低洼,适宜发生条件
甜菜褐斑病,排水不良,适宜发生条件
甜菜白粉病,干旱少雨,适宜发生条件
甜菜白粉病,土壤干旱,适宜发生条件
甜菜白粉病,肥力不足,适宜发生条件
甜菜白粉病,氮肥过量,适宜发生条件
甜菜白粉病,土壤干旱缺水,适宜发生条件
棉红铃虫,高温,适宜发生条件
棉红铃虫,高湿,适宜发生条件
焦条丽夜蛾,降雨量大,适宜发生条件
棉红蝽,相对湿度为40％～80％,适宜发生条件
棉红蝽,相对湿度37％以上,适宜发生条件
棉根蚜,土壤潮湿,适宜发生条件
棉根蚜,通透性好,适宜发生条件
二斑叶螨,干旱少雨,适宜发生条件
油葫芦,土质疏松潮湿,适宜发生条件
亚麻斑点病,地势低洼,适宜发生条件
红麻、黄麻立枯病,阴雨多湿,适宜发生条件
红麻、黄麻立枯病,春季低温,适宜发生条件
红麻、黄麻立枯病,排水不良,适宜发生条件
红麻、黄麻立枯病,地势低洼,适宜发生条件
红麻炭疽病,地势低洼,适宜发生条件
红麻炭疽病,地下水位高,适宜发生条件
红麻斑点病,多雨高湿,适宜发生条件
红麻斑点病,低洼积水,适宜发生条件
红麻叶霉病,麻田低洼,适宜发生条件
黄麻细菌性斑点病,高温,适宜发生条件
黄麻细菌性斑点病,多湿,适宜发生条件
苎麻炭疽病,高温多雨,适宜发生条件
苎麻疫病,多雨高湿,适宜发生条件
苎麻茎腐病,麻株过密,适宜发生条件
苎麻茎腐病,麻地积水,适宜发生条件
苎麻茎腐病,田间湿度大,适宜发生条件
苎麻白纹羽病,土壤黏重,适宜发生条件
苎麻白纹羽病,板结,适宜发生条件
苎麻白纹羽病,低洼积水,适宜发生条件
苎麻白纹羽病,杂草多,适宜发生条件
苎麻白纹羽病,肥力不足,适宜发生条件
苎麻青枯病,高温多雨,适宜发生条件
苎麻青枯病,雨后骤晴,适宜发生条件
苎麻青枯病,地势低洼,适宜发生条件
苎麻青枯病,保水保肥力差,适宜发生条件
苎麻青枯病,有机质含量低,适宜发生条件
苎麻花叶病,偏施氮肥,适宜发生条件
苎麻花叶病,钾肥不足,适宜发生条件
苎麻花叶病,排水不良,适宜发生条件
苎麻花叶病,耕作粗放,适宜发生条件
大豆霜霉病,低温,适宜发生条件
大豆霜霉病,多雨,适宜发生条件
大豆霜霉病,土温低,适宜发生条件
大豆霜霉病,土壤湿度大,适宜发生条件
大豆枯萎病,高温多湿,适宜发生条件
大豆枯萎病,土质黏重,适宜发生条件
大豆枯萎病,土壤板结,适宜发生条件
大豆疫霉根腐病,地势低洼,适宜发生条件
大豆疫霉根腐病,土壤为黏土,适宜发生条件
大豆疫霉根腐病,排排水不良,适宜发生条件
大豆紫斑病,高温,适宜发生条件
大豆紫斑病,高湿,适宜发生条件
大豆紫斑病,通风透光不良,适宜发生条件
大豆灰斑病,田间杂草多,适宜发生条件
大豆灰斑病,植株郁蔽,适宜发生条件
大豆灰斑病,通风透光差,适宜发生条件
大豆褐斑病,温暖多雨,适宜发生条件
大豆褐斑病,通风透光不好,适宜发生条件
大豆褐斑病,排水不良,适宜发生条件
大豆立枯病,低温多雨,适宜发生条件
大豆立枯病,低洼积水,适宜发生条件
大豆立枯病,高温高湿,适宜发生条件
大豆立枯病,光照不足,适宜发生条件
大豆纹枯病,低温多雨,适宜发生条件
大豆纹枯病,低洼积水,适宜发生条件
大豆纹枯病,高温高湿,适宜发生条件
大豆纹枯病,光照不足,适宜发生条件
大豆黑痘病,多雨湿,适宜发生条件
大豆疫病,地势低洼,适宜发生条件
大豆疫病,土壤为黏土,适宜发生条件
大豆疫病,排排水不良,适宜发生条件
大豆炭疽病,高温多雨,适宜发生条件
大豆菌核病,相对湿度,适宜发生条件
大豆菌核病,通风透光不良,适宜发生条件
大豆茎枯病,高温高湿,适宜发生条件
大豆菟丝子,土温25℃,适宜发生条件
大豆菟丝子,土壤含水量15%,适宜发生条件
大豆菟丝子,相对湿度70%,适宜发生条件
大豆褐纹病,温暖多雨,适宜发生条件
大豆褐纹病,通风透光不好,适宜发生条件
大豆褐纹病,排水不良,适宜发生条件
大豆赤霉病,高温多雨,适宜发生条件
大豆赤霉病,湿度大,适宜发生条件
大豆根腐病,土壤黏重,适宜发生条件
大豆根腐病,排水不良,适宜发生条件
大豆灰星病,相对温度85%,适宜发生条件
大豆菌核疫病,潮湿,适宜发生条件
大豆菌核疫病,土壤湿度大,适宜发生条件
大豆菌核疫病,作物遮荫,适宜发生条件
大豆煤斑病,田间高湿,适宜发生条件
大豆煤斑病,高温,适宜发生条件
大豆煤斑病,多雨,适宜发生条件
斑须蝽,相对湿度80％,适宜发生条件
豆叶螨,干旱,适宜发生条件
豆叶螨,少雨,适宜发生条件
花生褐斑病,高温高湿,适宜发生条件
高粱大斑病,田间湿度大,适宜发生条件
高粱大斑病,排水不良,适宜发生条件
高粱大斑病,通风不良,适宜发生条件
高粱叶点病,高温高湿,适宜发生条件
高粱豹纹病,低洼高湿,适宜发生条件
高粱炭疽病,低洼高湿,适宜发生条件
高粱立枯病,地势低洼,适宜发生条件
高粱立枯病,土质黏重,适宜发生条件
高粱丝黑穗病,墒情不好,适宜发生条件
高粱坚黑穗病,湿度低,适宜发生条件
高粱镰刀菌穗腐病,低温高湿,适宜发生条件
高粱紫斑病,高温多雨,适宜发生条件
高粱纹枯病,地势低洼,适宜发生条件
高粱纹枯病,排水不良,适宜发生条件
高粱纹枯病,土壤湿度大,适宜发生条件
高粱紫轮病,高温潮湿,适宜发生条件
高粱苗枯病,昼暖夜凉,适宜发生条件
高粱苗枯病,植地低洼积水,适宜发生条件
高粱苗枯病,田间郁闭高湿,适宜发生条件
高粱黑束病,通风透光不好,适宜发生条件
高粱黑束病,排水不良,适宜发生条件
高粱黑束病,土壤潮湿,适宜发生条件
高粱黑束病,高温,适宜发生条件
高粱黑束病,高湿,适宜发生条件
高粱炭腐病,田间,适宜发生条件
高粱炭腐病,高温多湿,适宜发生条件
高粱炭腐病,地势低洼,适宜发生条件
高粱炭腐病,土壤湿度,适宜发生条件
高粱长粒黑穗病,土壤温度低,适宜发生条件
高粱细菌性条纹病,高温多雨,适宜发生条件
高粱细菌性条纹病,地势低洼,适宜发生条件
高粱细菌性条纹病,土壤板结,适宜发生条件
桃蛀野螟,多雨高湿,适宜发生条件
黏虫,多雨,适宜发生条件
粟白发病,地温低,适宜发生条件
粟白发病,湿度大,适宜发生条件
粟瘟病,日照不足,适宜发生条件
粟瘟病,通风透光不良,适宜发生条件
粟瘟病,田间湿度过高,适宜发生条件
粟瘟病,土壤湿,适宜发生条件
粟瘟病,土质粘重,适宜发生条件
粟瘟病,地势低洼,适宜发生条件
粟黑鞘病,土质贫瘠,适宜发生条件
粟黑鞘病,水肥不足,适宜发生条件
粟锈病,地势低洼,适宜发生条件
粟纹枯病,高温高湿,适宜发生条件
粟纹枯病,地势低洼,适宜发生条件
粟纹枯病,排水不良,适宜发生条件
粟纹枯病,土壤湿度大,适宜发生条件
粟粒线虫病,土壤黏重,适宜发生条件
粟粒线虫病,地势低洼,适宜发生条件
粟粒线虫病,土壤潮湿,适宜发生条件
粟苗枯病,地势低洼,适宜发生条件
粟苗枯病,排水不良,适宜发生条件
粟胡麻斑病,高温高湿,适宜发生条件
粟胡麻斑病,砂质,适宜发生条件
粟胡麻斑病,保肥性差,适宜发生条件
粟叶斑病,高温高湿,适宜发生条件
粟假黑斑病,土壤潮湿,适宜发生条件
粟假黑斑病,高温,适宜发生条件
粟假黑斑病,高湿,适宜发生条件
粟条点病,管理粗放,适宜发生条件
粟条点病,肥力不足,适宜发生条件
粟条点病,地势低洼,适宜发生条件
粟条点病,排水不良,适宜发生条件
粟条点病,土壤潮湿,适宜发生条件
粟条点病,干旱,适宜发生条件
粟条点病,重雾,适宜发生条件
粟条点病,重露,适宜发生条件
粟条点病,高湿,适宜发生条件
粟条点病,多雨,适宜发生条件
粟黑粉病,土壤过干,适宜发生条件
粟细菌性条斑病,管理粗放,适宜发生条件
粟细菌性条斑病,肥力不足,适宜发生条件
粟细菌性条斑病,地势低洼,适宜发生条件
粟细菌性条斑病,排水不良,适宜发生条件
粟细菌性条斑病,土壤潮湿,适宜发生条件
粟细菌性条斑病,干旱,适宜发生条件
粟细菌性条斑病,高湿,适宜发生条件
粟细菌性条斑病,多雨,适宜发生条件
甘薯黑斑病,地势低洼,适宜发生条件
甘薯黑斑病,土壤粘重,适宜发生条件
甘薯黑斑病,湿度大,适宜发生条件
甘薯黑斑病,通风不好,适宜发生条件
甘薯软腐病,相对湿度76％,适宜发生条件
甘薯瘟病,高温高湿,适宜发生条件
甘薯瘟病,平地洼地,适宜发生条件
甘薯根腐病,高温,适宜发生条件
甘薯紫纹羽病,潮湿,适宜发生条件
甘薯紫纹羽病,低洼潮湿,适宜发生条件
甘薯茎线虫病,湿润,适宜发生条件
甘薯茎线虫病,疏松,适宜发生条件
甘薯黑痣病,土质粘重,适宜发生条件
甘薯黑痣病,地势低洼,适宜发生条件
甘薯黑痣病,排水不良,适宜发生条件
马铃薯癌肿病,日照短,适宜发生条件
马铃薯癌肿病,气候凉爽,适宜发生条件
马铃薯早疫病,高温多湿,适宜发生条件
马铃薯早疫病,阴雨多雾,适宜发生条件
马铃薯晚疫病,日暖夜凉高湿,适宜发生条件
马铃薯晚疫病,空气潮湿,适宜发生条件
马铃薯晚疫病,温暖多雾,适宜发生条件
马铃薯黑胫病,高温高湿,适宜发生条件
马铃薯黑胫病,土壤黏重,适宜发生条件
马铃薯黑胫病,排水不良,适宜发生条件
马铃薯环腐病,阴雨连绵,适宜发生条件
马铃薯环腐病,排水不良,适宜发生条件
马铃薯粉痂病,夏季凉爽,适宜发生条件
马铃薯茎基腐病,土壤水分多,适宜发生条件
马铃薯茎基腐病,光线不足,适宜发生条件
马铃薯软腐病,通风不良,适宜发生条件
马铃薯软腐病,湿度过大,适宜发生条件
马铃薯早死病,地势低洼,适宜发生条件
黄胫小车蝗,低洼易涝,适宜发生条件
黄胫小车蝗,土壤板结,适宜发生条件
马铃薯二十八星瓢虫,相对湿度在80～85%,适宜发生条件
棉苗立枯病,阴雨多湿,适宜发生条件
棉苗立枯病,地势低洼,适宜发生条件
棉苗立枯病,土质黏重,适宜发生条件
棉苗立枯病,排水不良,适宜发生条件
棉花炭疽病,管理粗放,适宜发生条件
棉花红腐病,高湿,适宜发生条件
棉花枯萎病,整地粗放,适宜发生条件
棉花枯萎病,排水不良,适宜发生条件
棉花疫病,相对湿度30%,适宜发生条件
棉花疫病,地势低洼,适宜发生条件
棉花疫病,土质黏重,适宜发生条件
棉花疫病,棉田潮湿郁闭,适宜发生条件
棉铃红粉病,土壤黏重,适宜发生条件
棉铃红粉病,排水不良,适宜发生条件
棉铃软腐病,田间湿度大,适宜发生条件
棉铃灰霉病,湿度大,适宜发生条件
棉铃灰霉病,相对湿度高于90%,适宜发生条件
棉花褐斑病,阴雨,适宜发生条件
棉花褐斑病,空气湿度高,适宜发生条件
棉花轮纹病,阴湿多雨,适宜发生条件
棉花轮纹病,低温,适宜发生条件
麦叶蜂,土壤水分充足,适宜发生条件
大麦网斑病,低温,适宜发生条件
大麦网斑病,高湿,适宜发生条件
玉米大斑病,排水不良,适宜发生条件
玉米大斑病,郁闭,适宜发生条件
玉米大斑病,通风不良,适宜发生条件
玉米弯孢霉叶斑病,土壤贫瘠,适宜发生条件
玉米灰斑病,相对湿度高,适宜发生条件
玉米镰刀菌苗枯病,低温高湿,适宜发生条件
玉米镰刀菌苗枯病,土壤板结,适宜发生条件
玉米镰刀菌苗枯病,通透性差,适宜发生条件
玉米镰刀菌苗枯病,土壤供氧不足,适宜发生条件
玉米镰刀菌苗枯病,雨后土壤板结,适宜发生条件
黄麻苗枯病,低温多雨,适宜发生条件
黄麻苗枯病,光照不足,适宜发生条件
黄麻苗枯病,地势低洼,适宜发生条件
黄麻苗枯病,排水不良,适宜发生条件
黄麻苗枯病,地下水位高,适宜发生条件
黄麻苗枯病,土质黏重,适宜发生条件
黄麻黑点炭疽病,偏施氮肥,适宜发生条件
黄麻黑点炭疽病,排水不良,适宜发生条件
黄麻黑点炭疽病,湿气滞留,适宜发生条件
黄麻叶枯病,地势低洼,适宜发生条件
黄麻叶枯病,排水不良,适宜发生条件
黄麻叶枯病,管理粗放,适宜发生条件
黄麻茎斑病,土壤干燥,适宜发生条件
玉米纹枯病,地势低洼,适宜发生条件
玉米纹枯病,排水不良,适宜发生条件
玉米纹枯病,土壤湿度大,适宜发生条件
玉米锈病,高温多湿,适宜发生条件
玉米锈病,多雾,适宜发生条件
玉米锈病,光照不足,适宜发生条件
玉米褐斑病,高温高湿,适宜发生条件
玉米褐斑病,土壤瘠薄,适宜发生条件
玉米疯顶病,地势低洼,适宜发生条件
玉米疯顶病,土壤湿度大,适宜发生条件
玉米疯顶病,地势较高,适宜发生条件
玉米疯顶病,排水良好,适宜发生条件
玉米疯顶病,土壤湿度较低,适宜发生条件
玉米茎腐病,土壤湿度大,适宜发生条件
玉米茎腐病,田间郁闭,适宜发生条件
玉米茎腐病,通风透光不良,适宜发生条件
玉米圆斑病,地势低洼,适宜发生条件
玉米圆斑病,田间通风透光不良,适宜发生条件
玉米丝黑穗病,土壤含水量12％,适宜发生条件
黄麻立枯病,阴雨多湿,适宜发生条件
黄麻立枯病,春季低温,适宜发生条件
黄麻立枯病,排水不良,适宜发生条件
黄麻立枯病,地势低洼,适宜发生条件
黄麻炭疽病,地势低洼,适宜发生条件
黄麻枯腐病,地势低洼,适宜发生条件
黄麻枯腐病,湿度大,适宜发生条件
黄麻枯萎病,地势低洼,适宜发生条件
黄麻枯萎病,排水不良,适宜发生条件
黄麻枯萎病,土壤贫瘠,适宜发生条件
黄麻枯萎病,偏施氮肥,适宜发生条件
向日葵褐斑病,湿度大,适宜发生条件
向日葵褐斑病,地势低洼,适宜发生条件
向日葵褐斑病,田间通风透光差,适宜发生条件
向日葵褐斑病,排水不良,适宜发生条件
向日葵白粉病,通风不良,适宜发生条件
向日葵白粉病,氮肥偏多,适宜发生条件
向日葵霜霉病,低温高湿,适宜发生条件
向日葵霜霉病,地下水位高,适宜发生条件
向日葵根茎腐病,田间,适宜发生条件
向日葵根茎腐病,高温多湿,适宜发生条件
向日葵根茎腐病,地势低洼,适宜发生条件
向日葵根茎腐病,土壤湿度,适宜发生条件
向日葵白绢病,高温,适宜发生条件
向日葵白绢病,高湿,适宜发生条件
向日葵细菌性茎腐病,雨水多,适宜发生条件
向日葵细菌性茎腐病,湿度大,适宜发生条件
向日葵细菌性茎腐病,管理粗放,适宜发生条件
向日葵细菌性茎腐病,氮肥施用不当,适宜发生条件
向日葵细菌性茎腐病,地势地洼,适宜发生条件
魔芋软腐病,土壤湿度过大,适宜发生条件
魔芋炭疽病,温暖多湿,适宜发生条件
魔芋炭疽病,田间湿度大,适宜发生条件
姜枯萎病,排水不良,适宜发生条件
姜枯萎病,土质黏重,适宜发生条件
青花菜细菌性黑斑病,高湿,适宜发生条件
葱炭疽病,排水不良,适宜发生条件
葱黄矮病,高温干旱,适宜发生条件
大白菜霜霉病,高湿多雨,适宜发生条件
大白菜炭疽病,高湿,适宜发生条件
大白菜炭疽病,地势低洼,适宜发生条件
大白菜炭疽病,通风透光差,适宜发生条件
大白菜褐腐病,培土过多过湿,适宜发生条件
大白菜黑斑病,相对湿度为72%,适宜发生条件
青花菜黑胫病,高温高湿,适宜发生条件
青花菜黑胫病,雨后高温,适宜发生条件
大白菜黑胫病,潮湿多雨,适宜发生条件
大白菜黑胫病,雨后高温,适宜发生条件
青花菜霜霉病,高温高湿度,适宜发生条件
青花菜霜霉病,光照不足,适宜发生条件
青花菜霜霉病,空气湿度,适宜发生条件
玉米霜霉病,气候潮湿,适宜发生条件
玉米霜霉病,雨水充沛,适宜发生条件
玉米霜霉病,地势低洼,适宜发生条件
玉米链格孢菌叶枯病,通风透光不好,适宜发生条件
玉米链格孢菌叶枯病,排水不良,适宜发生条件
玉米链格孢菌叶枯病,土壤潮湿,适宜发生条件
玉米链格孢菌叶枯病,高温,适宜发生条件
玉米链格孢菌叶枯病,高湿,适宜发生条件
玉米斑枯病,冷凉潮湿,适宜发生条件
玉米炭疽病,高温,适宜发生条件
玉米炭疽病,高湿,适宜发生条件
玉米立枯丝核菌根腐病,土温低,适宜发生条件
玉米立枯丝核菌根腐病,湿度大,适宜发生条件
玉米平脐蠕孢茎基腐病,高湿,适宜发生条件
玉米平脐蠕孢茎基腐病,雨后骤晴,适宜发生条件
玉米平脐蠕孢茎基腐病,土壤湿度大,适宜发生条件
玉米平脐蠕孢茎基腐病,田间郁闭,适宜发生条件
玉米平脐蠕孢茎基腐病,通风透光不良,适宜发生条件
玉米种子霉烂,排水不良,适宜发生条件
玉米种子霉烂,温及土壤湿,适宜发生条件
玉米全蚀病,高温,适宜发生条件
玉米全蚀病,高湿,适宜发生条件
玉米细菌性条纹病,高温多雨,适宜发生条件
玉米细菌性条纹病,地势低洼,适宜发生条件
玉米细菌性条纹病,土壤板结,适宜发生条件
玉米细菌性茎腐病,高温高湿,适宜发生条件
玉米细菌性茎腐病,地势低洼,适宜发生条件
玉米细菌性茎腐病,排水不良,适宜发生条件
玉米细菌性茎腐病,土壤板结,适宜发生条件
稻瘟病,适温高湿,适宜发生条件
稻瘟病,雨天多,适宜发生条件
稻瘟病,多雨,适宜发生条件
水稻云形病,连绵阴雨,适宜发生条件
水稻云形病,适温多湿,适宜发生条件
水稻菌核秆腐病,排水不好,适宜发生条件
水稻纹枯病,雨，田间湿度在,适宜发生条件
水稻纹枯病,田间郁闭,适宜发生条件
水稻纹枯病,湿度大,适宜发生条件
水稻胡麻斑病,高温高湿,适宜发生条件
水稻胡麻斑病,土壤酸性,适宜发生条件
水稻胡麻斑病,砂质,适宜发生条件
水稻胡麻斑病,保肥性差,适宜发生条件
稻螟蛉,阴雨天多,适宜发生条件
水稻叶鞘腐败病,田间湿度高,适宜发生条件
水稻叶鞘腐败病,通透性,适宜发生条件
水稻紫鞘病,高温多雨,适宜发生条件
水稻窄条斑病,缺磷,适宜发生条件
水稻窄条斑病,土壤通气性差,适宜发生条件
稻曲病,田间郁,适宜发生条件
稻曲病,通风透光差,适宜发生条件
稻曲病,相对湿度高,适宜发生条件
稻粒黑粉病,通风透光不良,适宜发生条件
水稻白叶枯病,多雨,适宜发生条件
水稻白叶枯病,田间郁闭,适宜发生条件
水稻白叶枯病,湿度大,适宜发生条件
水稻白叶枯病,地势低洼,适宜发生条件
水稻白叶枯病,排水不良,适宜发生条件
水稻细菌性褐条病,高温,适宜发生条件
水稻细菌性褐条病,高湿,适宜发生条件
水稻细菌性褐条病,阴雨,适宜发生条件
水稻细菌性褐斑病,偏施氮肥,适宜发生条件
水稻橙叶病,素：高温,适宜发生条件
水稻细菌性基腐病,地势低,适宜发生条件
水稻条纹叶枯病,降雨少,适宜发生条件
水稻赤枯病,排水不良,适宜发生条件
直纹稻弄蝶,温度低,适宜发生条件
直纹稻弄蝶,高温低湿,适宜发生条件
直纹稻弄蝶,气温32,适宜发生条件
直纹稻弄蝶,盛夏不热,适宜发生条件
稻秆潜蝇,阳光不足,适宜发生条件
稻秆潜蝇,环境潮湿,适宜发生条件
稻秆潜蝇,田水温度低,适宜发生条件
褐飞虱,、湿度8,适宜发生条件
褐飞虱,晚秋不冷,适宜发生条件
褐飞虱,夏秋多雨,适宜发生条件
白背飞虱,相对湿度为80％～90%,适宜发生条件
白背飞虱,地势低洼,适宜发生条件
白背飞虱,氮肥过多,适宜发生条件
白背飞虱,田间郁闭,适宜发生条件
灰飞虱,郁闭,适宜发生条件
灰飞虱,透风透光不良,适宜发生条件
白翅叶蝉,相对湿对85%～90%,适宜发生条件
小麦秆枯病,施肥不足,适宜发生条件
小麦秆枯病,土壤瘠薄,适宜发生条件
小麦全蚀病,土质疏松,适宜发生条件
小麦全蚀病,肥力低,适宜发生条件
小麦炭疽病,肥料不足,适宜发生条件
小麦炭疽病,土壤碱,适宜发生条件
小麦白粉病,相对湿度大,适宜发生条件
小麦秆锈病,地势低洼,适宜发生条件
小麦秆锈病,土质黏重,适宜发生条件
小麦秆锈病,排水不良,适宜发生条件
小麦叶锈病,雪层厚,适宜发生条件
小麦叶锈病,土壤湿度大,适宜发生条件
小麦纹枯病,田间湿度过大,适宜发生条件
小麦霜霉病,地势低洼,适宜发生条件
小麦霜霉病,耕作粗放,适宜发生条件
小麦雪霉叶枯病,低温湿度,适宜发生条件
小麦雪霉叶枯病,潮湿多雨,适宜发生条件
小麦雪霉叶枯病,地下水位高,适宜发生条件
小麦雪霉叶枯病,田间湿度大,适宜发生条件
小麦白秆病,低温多雨,适宜发生条件
小麦白秆病,田间湿度大,适宜发生条件
小麦根腐病,土温20℃上,适宜发生条件
小麦根腐病,土质贫瘠,适宜发生条件
小麦根腐病,水肥不足,适宜发生条件
小麦赤霉病,高温高湿,适宜发生条件
小麦赤霉病,潮湿多雾,适宜发生条件
小麦赤霉病,地势低洼,适宜发生条件
小麦赤霉病,排水不良,适宜发生条件
小麦赤霉病,土质粘重,适宜发生条件
小麦赤霉病,偏施氮肥,适宜发生条件
小麦赤霉病,田间潮湿郁闭,适宜发生条件
小麦颖枯病,高温多雨,适宜发生条件
小麦颖枯病,土质贫瘠,适宜发生条件
小麦斑枯病,低温,适宜发生条件
小麦斑枯病,高湿,适宜发生条件
小麦斑枯病,土壤瘠薄,适宜发生条件
小麦斑枯病,施氮过多,适宜发生条件
小麦链格孢叶枯病,低洼潮湿,适宜发生条件
小麦黑颖病,通风不良,适宜发生条件
小麦黑颖病,整地不平,适宜发生条件
小麦梭条斑花叶病,土壤湿度较低,适宜发生条件
小麦细菌性条斑病,通风透光不好,适宜发生条件
小麦黄矮病,干旱,适宜发生条件
小麦黄矮病,土壤贫瘠,适宜发生条件
小麦黄矮病,管理粗放,适宜发生条件
小麦禾谷胞囊线虫病,沙壤土较粘土,适宜发生条件
大麦白粉病,相对湿度大,适宜发生条件
