entity,crop,relation
红棕灰夜蛾,黑莓,危害
桑褶翅尺蠖,苹果,危害
桑褶翅尺蠖,山楂,危害
桑褶翅尺蠖,核桃,危害
小青花金龟,海棠,危害
苹毛丽金龟,苹果,危害
苹毛丽金龟,樱桃,危害
苹毛丽金龟,海棠,危害
苹毛丽金龟,葡萄,危害
棉花弧丽金龟,棉花,危害
棉花弧丽金龟,玉米,危害
棉花弧丽金龟,高粱,危害
棉花弧丽金龟,大豆,危害
棉花弧丽金龟,月季,危害
棉花弧丽金龟,黑莓,危害
棉花弧丽金龟,玫瑰,危害
棉花弧丽金龟,芍药,危害
棉花弧丽金龟,合欢,危害
棉花弧丽金龟,板栗,危害
棉花弧丽金龟,苹果,危害
棉花弧丽金龟,弥猴桃,危害
东方盔蚧,苹果,危害
东方盔蚧,山楂,危害
东方盔蚧,葡萄,危害
绣线菊蚜,苹果,危害
绣线菊蚜,沙果,危害
桃炭疽病,桃树,危害
桃细菌性穿孔病,桃树,危害
桃煤污病,桃树,危害
苹毛虫,樱桃,危害
苹毛虫,苹果,危害
桃树木腐病,老桃树,危害
桃灰霉病,桃树,危害
桃白纹羽病,桃树,危害
桃瘿螨畸果病,桃树,危害
桃剑纹夜蛾,山楂,危害
桑剑纹夜蛾,山楂,危害
蓝目天蛾,苹果,危害
蓝目天蛾,樱桃,危害
褐刺蛾,柑,危害
双齿绿刺蛾,海棠,危害
双齿绿刺蛾,桃,危害
双齿绿刺蛾,梅,危害
中国绿刺蛾,苹果,危害
中国绿刺蛾,柑橘,危害
中国绿刺蛾,樱桃,危害
中国绿刺蛾,油桐,危害
中国绿刺蛾,枇杷,危害
白杨枯叶蛾,苹果,危害
白杨枯叶蛾,海棠,危害
白杨枯叶蛾,山定子,危害
黄斑卷蛾,苹果,危害
黄斑卷蛾,杠梨,危害
黄斑卷蛾,山荆子,危害
黄斑卷蛾,海棠,危害
水木坚蚧,山楂,危害
水木坚蚧,苹果,危害
水木坚蚧,葡萄,危害
水木坚蚧,核桃,危害
水木坚蚧,刺槐,危害
桃小蠹,樱桃,危害
海棠透翅蛾,苹果,危害
海棠透翅蛾,沙果,危害
海棠透翅蛾,海棠,危害
海棠透翅蛾,樱桃,危害
桃瘤蚜,樱桃,危害
桃瘤蚜,禾本,危害
李细菌性穿孔病,李树,危害
黄斑卷叶蛾,苹果,危害
黄斑卷叶蛾,杠梨,危害
黄斑卷叶蛾,山荆子,危害
黄斑卷叶蛾,海棠,危害
杏象甲,樱桃,危害
苹小卷叶蛾,苹果,危害
苹小卷叶蛾,山楂,危害
苹小卷叶蛾,柑桔,危害
苹小卷叶蛾,棉花,危害
铜绿丽金龟子,桃,危害
铜绿丽金龟子,李,危害
铜绿丽金龟子,樱,危害
李短尾蚜,芹菜,危害
李短尾蚜,菊科植,危害
李短尾蚜,东北,危害
杏黑粒枝枯病,杏树,危害
杏细菌性穿孔病,樱桃,危害
苹果轮纹病,苹果,危害
苹果灰斑病,苹果,危害
苹果斑点落叶病,苹果,危害
苹果白粉病,苹果,危害
苹果白粉病,沙果,危害
苹果白粉病,海棠,危害
苹果白粉病,槟子,危害
苹果白粉病,榅桲,危害
苹果白粉病,山定子,危害
苹果银叶病,苹果,危害
苹果银叶病,樱桃,危害
苹果树赤衣病,苹果,危害
苹果树褐色膏药病,苹果,危害
苹果树褐色膏药病,樱桃,危害
苹果树褐色膏药病,油桐,危害
苹果树白纹羽病,苹果,危害
苹果树紫纹羽病,苹果,危害
苹果树紫纹羽病,葡萄,危害
苹果树白绢病,苹果,危害
苹果树白绢病,葡萄,危害
苹果树白绢病,花生,危害
苹果树白绢病,大豆,危害
苹果树白绢病,瓜类,危害
苹果树白绢病,番茄,危害
苹果树白绢病,苜蓿,危害
苹果圆斑根腐病,苹果,危害
苹果圆斑根腐病,葡萄,危害
苹果圆斑根腐病,核桃,危害
苹果苗立枯病,苹果,危害
苹果苗立枯病,海棠,危害
苹果苗立枯病,香椿,危害
苹果苗立枯病,臭椿,危害
苹果苗立枯病,银杏,危害
苹果苗立枯病,刺槐,危害
苹果毛根病,苹果,危害
苹果根癌病,苹果,危害
苹果根癌病,葡萄,危害
苹果根癌病,林木,危害
苹果绿皱果病,苹果,危害
苹果皱叶病,苹果,危害
苹果茎痘病,苹果,危害
苹果茎沟病,苹果,危害
苹果扁枝病,苹果,危害
苹果扁枝病,樱桃,危害
苹果扁枝病,核桃,危害
苹果高接衰退病,苹果,危害
苹果环斑果病,苹果,危害
苹果根结线虫病,苹果,危害
苹果根腐线虫病,果树,危害
苹果根腐线虫病,作物,危害
苹果根腐线虫病,蔬菜,危害
苹果根腐线虫病,饲料植物,危害
苹果根腐线虫病,杂草,危害
苹果根腐线虫病,苹果树,危害
苹果枝腐病,苹果,危害
苹果缺硼缩果症,葡萄,危害
苹果缺硼缩果症,山植,危害
苹果青霉病,苹果,危害
苹小食心虫,苹果,危害
苹小食心虫,山楂,危害
苹毛虫,沙果,危害
苹果小卷蛾,苹果,危害
苹果小卷蛾,山楂,危害
苹果小卷蛾,柑橘,危害
苹褐卷叶蛾,苹果,危害
苹褐卷叶蛾,樱桃,危害
苹褐卷叶蛾,山楂,危害
苹褐卷叶蛾,鼠李,危害
苹果卷蛾,苹果,危害
苹果卷蛾,山楂,危害
苹果卷蛾,沙果,危害
苹果卷蛾,海棠,危害
苹果卷蛾,樱桃,危害
苹果卷蛾,山槐,危害
顶芽卷蛾,苹果,危害
桑褐刺蛾,柑橘,危害
桑褐刺蛾,白杨,危害
双齿绿刺蛾,苹果,危害
双齿绿刺蛾,梹沙果,危害
双齿绿刺蛾,樱桃,危害
双齿绿刺蛾,黑刺李,危害
双齿绿刺蛾,核桃,危害
双齿绿刺蛾,柑橘,危害
苹果蠹蛾,苹果,危害
苹果蠹蛾,沙果,危害
苹果蠹蛾,石榴,危害
盗毒蛾,苹果,危害
盗毒蛾,梨,危害
苹果巢蛾,苹果,危害
苹果巢蛾,沙果,危害
苹果巢蛾,山楂,危害
苹果巢蛾,海棠,危害
苹果透翅蛾,苹果,危害
苹果透翅蛾,樱桃,危害
柳干木蠹蛾,苹果,危害
柳干木蠹蛾,山楂,危害
柳干木蠹蛾,樱桃,危害
柳干木蠹蛾,核桃,危害
淡褐巢蛾,苹果,危害
淡褐巢蛾,山楂,危害
淡褐巢蛾,樱桃,危害
淡褐巢蛾,海棠,危害
金纹细蛾,苹果,危害
金纹细蛾,海棠,危害
金纹细蛾,樱桃,危害
金纹细蛾,山楂,危害
苹果瘤蚜,苹果,危害
苹果瘤蚜,海棠,危害
苹果瘤蚜,山楂,危害
苹果根绵蚜,苹果,危害
苹果根绵蚜,山楂,危害
苹果根绵蚜,海棠,危害
苹果根绵蚜,沙果,危害
苹果根绵蚜,山定子,危害
苹果根绵蚜,花生,危害
绿盲蝽,苹果,危害
绿盲蝽,樱桃,危害
绿盲蝽,葡萄,危害
绿盲蝽,菊花,危害
绿盲蝽,大丽花,危害
绿盲蝽,翠菊,危害
绿盲蝽,紫薇,危害
绿盲蝽,木槿,危害
苹果绵蚜,苹果,危害
苹果绵蚜,山楂,危害
苹果全爪螨,苹果,危害
苹果全爪螨,沙果,危害
苹果全爪螨,樱桃,危害
苹果全爪螨,海棠,危害
苹果全爪螨,山楂,危害
苹果全爪螨,葡萄,危害
苹果全爪螨,核桃,危害
果苔螨,苹果,危害
果苔螨,榛子,危害
果苔螨,沙果,危害
果苔螨,山楂,危害
果苔螨,樱桃,危害
二斑叶螨,苹果,危害
二斑叶螨,樱桃,危害
二斑叶螨,草莓,危害
二斑叶螨,葡萄,危害
苹果小吉丁,苹果,危害
苹果小吉丁,沙果,危害
苹果小吉丁,海棠,危害
苹果小吉丁,樱桃,危害
六斑吉丁虫,苹果,危害
六斑吉丁虫,柑橘,危害
薄翅锯天牛,苹果,危害
薄翅锯天牛,山楂,危害
薄翅锯天牛,核桃,危害
苹绕实蝇,苹果,危害
苹绕实蝇,山楂,危害
苹绕实蝇,越橘,危害
苹绕实蝇,樱桃,危害
苹黑痣小卷蛾,苹果,危害
苹果雕翅蛾,苹果,危害
苹果雕翅蛾,山楂,危害
苹果雕翅蛾,海棠,危害
苹果雕翅蛾,梹沙果,危害
苹果雕翅蛾,山定子,危害
果剑纹夜蛾,山楂,危害
果剑纹夜蛾,苹果,危害
苹果鞘蛾,苹果,危害
苹果鞘蛾,海棠,危害
苹果鞘蛾,山楂,危害
苹果鞘蛾,樱桃,危害
苹果塔叶蝉,海棠,危害
苹果塔叶蝉,葡萄,危害
苹果蓝跳甲,苹果,危害
苹果蓝跳甲,果树,危害
苹果蓝跳甲,柳树,危害
苹果蓝跳甲,杨树,危害
帽斑天牛,苹果,危害
帽斑天牛,山楂,危害
帽斑天牛,酸枣,危害
梨黑星病,梨树,危害
梨树干枯病,梨树,危害
梨树枝枯病,梨树,危害
梨锈病,梨树,危害
梨叶疫病,梨树,危害
梨煤污病,梨树,危害
梨石痘病,梨树,危害
梨大食心虫,梨树,危害
美国白蛾,李,危害
美国白蛾,棠,危害
中国绿刺蛾,梅,危害
中国绿刺蛾,桃,危害
梨尺蠖,苹果,危害
梨象甲,苹果,危害
梨象甲,花红,危害
梨象甲,山楂,危害
蘑菇菌盖斑点病,蘑菇,危害
蘑菇菌盖斑点病,平菇,危害
蘑菇菌盖斑点病,香菇,危害
蘑菇菌盖斑点病,猴头菇,危害
蘑菇细菌性斑点病,蘑菇,危害
蘑菇细菌性斑点病,平菇,危害
闽菇迟眼蕈蚊,蘑菇,危害
闽菇迟眼蕈蚊,平菇,危害
闽菇迟眼蕈蚊,香菇,危害
闽菇迟眼蕈蚊,茶树菇,危害
闽菇迟眼蕈蚊,金针菇,危害
闽菇迟眼蕈蚊,银耳,危害
闽菇迟眼蕈蚊,黑木耳,危害
平菇厉眼蕈蚊,平菇,危害
平菇厉眼蕈蚊,蘑菇,危害
平菇厉眼蕈蚊,香菇,危害
平菇厉眼蕈蚊,金针菇,危害
平菇厉眼蕈蚊,茶树菇,危害
平菇厉眼蕈蚊,天麻,危害
平菇厉眼蕈蚊,灵芝,危害
中华新蕈蚊,双翅,危害
中华新蕈蚊,菌蚊,危害
韭菜迟眼蕈蚊,食用菌,危害
韭菜迟眼蕈蚊,韭菜,危害
平菇青霉病,平菇,危害
平菇青霉病,蘑菇,危害
平菇青霉病,香菇,危害
平菇青霉病,金针菇,危害
双线嗜黏蛞蝓,蘑菇,危害
双线嗜黏蛞蝓,平菇,危害
双线嗜黏蛞蝓,香菇,危害
双线嗜黏蛞蝓,草菇,危害
双线嗜黏蛞蝓,木耳,危害
双线嗜黏蛞蝓,银耳,危害
平菇病毒病,平菇,危害
香菇绿霉病,香菇,危害
香菇畸形菇,香菇,危害
鸡腿菇红粉病,鸡腿菇,危害
鸡腿菇绿霉病,鸡腿菇,危害
鸡爪菌,鸡腿菇,危害
杏鲍菇青霉病,杏鲍菇,危害
木霉,食用菌,危害
黄瘤孢霉,蘑菇,危害
可变粉孢霉,蘑菇,危害
可变粉孢霉,平菇,危害
可变粉孢霉,草菇,危害
胡桃肉状菌,蘑菇,危害
胡桃肉状菌,金针菇,危害
粪生帚霉,蘑菇菇,危害
粪生帚霉,草菇,危害
粪生帚霉,凤尾菇菇,危害
鬼伞,草菇,危害
地碗菌,食用菌,危害
地碗菌,蘑菇,危害
地碗菌,平菇,危害
地碗菌,金针菇,危害
西瓜蔓枯病,西瓜,危害
西瓜枯萎病,西瓜,危害
西瓜炭疽病,西瓜,危害
西瓜疫病,西瓜,危害
西瓜斑点病,西瓜,危害
西瓜叶枯病,西瓜,危害
西瓜绵腐病,西瓜,危害
西瓜褐腐病,西瓜,危害
西瓜病毒病,西瓜,危害
西瓜绿斑驳花叶病,黄瓜,危害
西瓜绿斑驳花叶病,西瓜,危害
西瓜绿斑驳花叶病,瓠瓜,危害
西瓜绿斑驳花叶病,甜瓜,危害
西瓜根结线虫病,葫芦科,危害
西瓜根结线虫病,豆科,危害
西瓜根结线虫病,茄科,危害
西瓜猝倒病,西瓜,危害
西瓜黑斑病,西瓜,危害
西瓜白绢病,西瓜,危害
西瓜裂果症状,西瓜,危害
瓜绢螟,瓜类,危害
瓜绢螟,西瓜,危害
瓜绢螟,黄瓜,危害
瓜绢螟,苦瓜,危害
瓜绢螟,甜瓜,危害
瓜绢螟,丝瓜,危害
瓜绢螟,冬瓜,危害
瓜绢螟,番茄,危害
瓜绢螟,茄子,危害
瓜绢螟,木槿,危害
瓜绢螟,锦葵,危害
葫芦夜蛾,黄瓜,危害
葫芦夜蛾,节瓜,危害
葫芦夜蛾,葫芦,危害
葫芦夜蛾,泡桐,危害
黄足黄守瓜,瓜类蔬菜,危害
黄足黄守瓜,瓜类,危害
黄足黄守瓜,南瓜,危害
黄足黄守瓜,西瓜,危害
黄足黄守瓜,黄瓜,危害
黄足黄守瓜,蒲瓜,危害
黄足黑守瓜,瓜类蔬菜,危害
温室白粉虱,蔬菜,危害
温室白粉虱,黄瓜,危害
温室白粉虱,番茄,危害
温室白粉虱,茄子,危害
温室白粉虱,辣椒,危害
瓜褐蝽,节瓜,危害
瓜褐蝽,冬瓜,危害
瓜褐蝽,南瓜,危害
瓜褐蝽,丝瓜,危害
美洲斑潜蝇,蔬菜,危害
美洲斑潜蝇,多种,危害
美洲斑潜蝇,黄瓜,危害
美洲斑潜蝇,菜豆,危害
美洲斑潜蝇,番茄,危害
美洲斑潜蝇,白菜,危害
美洲斑潜蝇,油菜,危害
美洲斑潜蝇,芹菜,危害
美洲斑潜蝇,茼蒿,危害
美洲斑潜蝇,生菜,危害
烟粉虱,棉花,危害
烟粉虱,烟草,危害
烟粉虱,番薯,危害
烟粉虱,木薯,危害
烟粉虱,茄科,危害
烟粉虱,十字花科,危害
烟粉虱,葫芦科,危害
烟粉虱,豆科,危害
烟粉虱,锦葵科,危害
茶黄螨,茄子,危害
茶黄螨,辣椒,危害
茶黄螨,番茄,危害
茶黄螨,苦瓜,危害
茶黄螨,丝瓜,危害
茶黄螨,黄瓜,危害
茶黄螨,豇豆,危害
茶黄螨,菜豆,危害
茶黄螨,萝卜,危害
茶黄螨,芥菜,危害
朱砂叶螨,瓜类,危害
朱砂叶螨,豆类,危害
朱砂叶螨,玉米,危害
朱砂叶螨,高梁,危害
朱砂叶螨,向日葵,危害
朱砂叶螨,桑树,危害
朱砂叶螨,草萄,危害
朱砂叶螨,棉花,危害
朱砂叶螨,柑橘,危害
朱砂叶螨,黄瓜,危害
黄胸蓟马,瓜类,危害
黄胸蓟马,豇豆,危害
黄胸蓟马,四季豆,危害
黄胸蓟马,空心菜,危害
黄胸蓟马,辣椒,危害
黄胸蓟马,茄子,危害
黄胸蓟马,番茄,危害
黄胸蓟马,韭瓜,危害
黄胸蓟马,蚕豆,危害
黄胸蓟马,十字花科蔬菜,危害
华北蝼蛄,大豆,危害
华北蝼蛄,花生,危害
华北蝼蛄,甘薯,危害
同型巴蜗牛,韭菜,危害
同型巴蜗牛,白菜,危害
同型巴蜗牛,萝卜,危害
同型巴蜗牛,甘蓝,危害
同型巴蜗牛,花椰菜,危害
同型巴蜗牛,菜豆,危害
同型巴蜗牛,莴苣,危害
同型巴蜗牛,芹菜,危害
同型巴蜗牛,菠菜,危害
野蛞蝓,豆科,危害
野蛞蝓,十字花科,危害
野蛞蝓,茄科蔬菜,危害
野蛞蝓,落葵,危害
野蛞蝓,菠菜,危害
野蛞蝓,生菜,危害
野蛞蝓,杂草,危害
甜瓜大斑病,甜瓜,危害
甜瓜黑星病,黄瓜,危害
甜瓜黑星病,甜瓜,危害
甜瓜黑星病,南瓜,危害
甜瓜黑星病,西葫芦,危害
甜瓜白粉病,甜瓜,危害
甜瓜霜霉病,甜瓜,危害
甜瓜猝倒病,甜瓜,危害
甜瓜炭疽病,甜瓜,危害
甜瓜蔓枯病,甜瓜,危害
甜瓜枯萎病,甜瓜,危害
甜瓜细菌性叶枯病,甜瓜,危害
甜瓜病毒病,甜瓜,危害
甜瓜炭腐病,甜瓜,危害
甜瓜红粉病,甜瓜,危害
甜瓜镰刀菌果腐病,甜瓜,危害
甜瓜细菌性角斑病,甜瓜,危害
甜瓜细菌性叶斑病,甜瓜,危害
甜瓜细菌性叶斑病,黄瓜,危害
甜瓜细菌性叶斑病,冬瓜,危害
甜瓜细菌性叶斑病,丝瓜,危害
甜瓜细菌性叶斑病,苦瓜,危害
烟青虫,蚕豆,危害
烟青虫,豌豆,危害
烟青虫,青椒,危害
烟青虫,番茄,危害
烟青虫,南瓜,危害
烟青虫,烟草,危害
烟青虫,玉米,危害
银纹夜蛾,甘蓝,危害
银纹夜蛾,花椰菜,危害
银纹夜蛾,白菜,危害
银纹夜蛾,萝卜,危害
银纹夜蛾,十字花科,危害
银纹夜蛾,蔬菜,危害
银纹夜蛾,大豆,危害
银纹夜蛾,豌豆,危害
银纹夜蛾,莴苣,危害
银纹夜蛾,茄子,危害
银纹夜蛾,胡萝卜,危害
银纹夜蛾,泡桐,危害
银纹夜蛾,油桐,危害
甜菜夜蛾,甘蓝,危害
甜菜夜蛾,花椰菜,危害
甜菜夜蛾,白菜,危害
甜菜夜蛾,萝卜,危害
甜菜夜蛾,莴苣,危害
甜菜夜蛾,大葱,危害
甜菜夜蛾,番茄,危害
甜菜夜蛾,青椒,危害
黄曲条跳甲,油菜,危害
黄曲条跳甲,甘蓝,危害
黄曲条跳甲,白菜,危害
黄曲条跳甲,茄果类,危害
黄曲条跳甲,瓜类,危害
黄曲条跳甲,豆类,危害
黄足黄守瓜,甜瓜,危害
马铃薯瓢虫,马铃薯,危害
马铃薯瓢虫,茄子,危害
马铃薯瓢虫,青椒,危害
马铃薯瓢虫,豆类,危害
马铃薯瓢虫,瓜类,危害
马铃薯瓢虫,玉米,危害
马铃薯瓢虫,白菜,危害
番茄斑潜蝇,茄科,危害
番茄斑潜蝇,葫芦科,危害
番茄斑潜蝇,十字花科,危害
番茄斑潜蝇,番茄,危害
番茄斑潜蝇,瓜类,危害
番茄斑潜蝇,莴苣,危害
番茄斑潜蝇,豆类,危害
番茄斑潜蝇,甘蓝,危害
番茄斑潜蝇,油菜,危害
番茄斑潜蝇,白菜,危害
番茄斑潜蝇,茼蒿,危害
瓜实蝇,苦瓜,危害
瓜实蝇,丝瓜,危害
瓜实蝇,黄瓜,危害
瓜蚜,瓜类,危害
瓜蚜,茄科,危害
瓜蚜,豆科,危害
瓜蚜,十字花科,危害
瓜蚜,菊科,危害
油葫芦,白菜,危害
油葫芦,甘蓝,危害
油葫芦,毛豆,危害
黑绒金龟,苹果,危害
黑绒金龟,山楂,危害
苹果树干腐病,苹果,危害
豌豆炭疽病,豌豆,危害
豆秆黑潜蝇,大豆,危害
豌豆彩潜蝇,豌豆,危害
豌豆彩潜蝇,菜豆,危害
豌豆彩潜蝇,豇豆,危害
豌豆彩潜蝇,红小豆,危害
豌豆彩潜蝇,甘蓝,危害
豌豆彩潜蝇,白菜,危害
豌豆彩潜蝇,莴苣,危害
豌豆彩潜蝇,番茄,危害
端大蓟马,四季豆,危害
端大蓟马,豌豆,危害
端大蓟马,蚕豆,危害
端大蓟马,丝瓜,危害
端大蓟马,胡萝卜,危害
端大蓟马,白菜,危害
端大蓟马,油菜,危害
花蓟马,瓜类,危害
花蓟马,豆类,危害
豌豆象,豌豆,危害
豌豆象,扁豆,危害
斑须蝽,大豆,危害
斑须蝽,棉花,危害
斑须蝽,花生,危害
斑须蝽,绿豆,危害
斑须蝽,小麦,危害
斑须蝽,玉米,危害
斑须蝽,谷子,危害
斑须蝽,烟草,危害
斑须蝽,白菜,危害
斑须蝽,甘蓝,危害
条蜂缘蝽,蚕豆,危害
条蜂缘蝽,豌豆,危害
条蜂缘蝽,菜豆,危害
条蜂缘蝽,绿豆,危害
条蜂缘蝽,大豆,危害
条蜂缘蝽,豇豆,危害
条蜂缘蝽,水稻,危害
条蜂缘蝽,麦类,危害
条蜂缘蝽,高粱,危害
条蜂缘蝽,玉米,危害
条蜂缘蝽,红薯,危害
条蜂缘蝽,棉花,危害
条蜂缘蝽,甘蔗,危害
条蜂缘蝽,丝瓜,危害
豇豆荚螟,大豆,危害
豇豆荚螟,豇豆,危害
豇豆荚螟,绿豆,危害
豇豆荚螟,扁豆,危害
豇豆荚螟,刺槐,危害
豆荚斑螟,大豆,危害
豆荚斑螟,豇豆,危害
豆荚斑螟,豌豆,危害
豆荚斑螟,菜豆,危害
豆荚斑螟,扁豆,危害
豆荚斑螟,绿豆,危害
豆荚斑螟,刺槐,危害
肾毒蛾,大豆,危害
肾毒蛾,绿豆,危害
肾毒蛾,棉花,危害
肾毒蛾,甘薯,危害
肾毒蛾,苜蓿,危害
肾毒蛾,茶树,危害
肾毒蛾,苹果,危害
肾毒蛾,樱桃,危害
肾毒蛾,海棠,危害
肾毒蛾,柳树,危害
肾毒蛾,刺槐,危害
肾毒蛾,荷花,危害
肾毒蛾,月季,危害
肾毒蛾,茶花,危害
肾毒蛾,杜鹃,危害
肾毒蛾,垂丝海棠,危害
肾毒蛾,贴梗海棠,危害
肾毒蛾,紫藤,危害
肾毒蛾,胡枝子,危害
肾毒蛾,悬铃木,危害
豌豆修尾蚜,豌豆,危害
豌豆修尾蚜,蚕豆,危害
豌豆修尾蚜,大豆,危害
豆蚜,豇豆,危害
豆蚜,菜豆,危害
豆蚜,豌豆,危害
豆蚜,蚕豆,危害
豆蚜,苜蓿,危害
豆蚜,苕子,危害
豆蚜,绿豆,危害
豆蚜,花生,危害
豆蚜,甘草,危害
豆蚜,槐树,危害
扁豆褐斑病,扁豆,危害
扁豆角斑病,扁豆,危害
扁豆炭疽病,扁豆,危害
扁豆细菌性疫病,扁豆,危害
扁豆红斑病,扁豆,危害
扁豆黑斑病,扁豆,危害
扁豆斑点病,扁豆,危害
扁豆轮纹斑病,扁豆,危害
扁豆病毒病,扁豆,危害
扁豆羽蛾,扁豆,危害
扁豆夜蛾,扁豆,危害
豆卷叶螟,豇豆,危害
豆卷叶螟,毛豆,危害
豆卷叶螟,菜豆,危害
豆卷叶螟,扁豆,危害
豆卷叶螟,豌豆,危害
草地螟,小麦,危害
草地螟,燕麦,危害
草地螟,玉米,危害
草地螟,高粱,危害
草地螟,甜菜,危害
草地螟,甘蓝,危害
草地螟,大豆,危害
草地螟,豌豆,危害
草地螟,扁豆,危害
草地螟,马铃薯,危害
草地螟,向日葵,危害
草地螟,亚麻,危害
草地螟,瓜类,危害
草地螟,胡萝卜,危害
草地螟,洋葱,危害
草地螟,茴香,危害
草地螟,藜科,危害
草地螟,蓼科,危害
草地螟,菊科,危害
草地螟,杂草,危害
绿豆象,菜豆,危害
绿豆象,豇豆,危害
绿豆象,扁豆,危害
绿豆象,豌豆,危害
绿豆象,蚕豆,危害
绿豆象,绿豆,危害
绿豆象,赤豆,危害
扁豆小灰蝶,扁豆,危害
灰巴蜗牛,甘蓝,危害
灰巴蜗牛,花椰菜,危害
灰巴蜗牛,白菜,危害
灰巴蜗牛,萝卜,危害
灰巴蜗牛,豆类,危害
灰巴蜗牛,马铃薯,危害
蚕豆锈病,蚕豆,危害
蚕豆褐斑病,蚕豆,危害
蚕豆赤斑病,蚕豆,危害
蚕豆白粉病,蚕豆,危害
蚕豆茎基腐病,蚕豆,危害
蚕豆油壶火肿病,蚕豆,危害
蚕豆根腐病,蚕豆,危害
蚕豆枯萎病,蚕豆,危害
蚕豆炭疽病,蚕豆,危害
蚕豆霜霉病,蚕豆,危害
蚕豆茎疫病,蚕豆,危害
蚕豆轮纹病,蚕豆,危害
蚕豆立枯病,蚕豆,危害
蚕豆(BYMV)花叶病,蚕豆,危害
斑缘豆粉蝶,豆科蔬菜,危害
斑缘豆粉蝶,豆科,危害
蚕豆象,蚕豆,危害
蚕豆修尾蚜,豌豆,危害
蚕豆修尾蚜,蚕豆,危害
蚕豆修尾蚜,大豆,危害
黄花菜锈病,黄花菜,危害
黄花菜炭疽病,黄花菜,危害
黄花菜霉杆病,黄花菜,危害
黄花菜霉杆病,蚕豆,危害
刺足根螨,韭黄,危害
刺足根螨,韭菜,危害
刺足根螨,葱类,危害
刺足根螨,百合,危害
刺足根螨,甜菜,危害
刺足根螨,马铃薯,危害
刺足根螨,唐菖蒲,危害
刺足根螨,半夏,危害
刺足根螨,贝母,危害
枸杞负泥虫,枸杞,危害
枸杞蚜虫,枸杞,危害
枸杞木虱,枸杞,危害
枸杞木虱,龙葵,危害
三点盲蝽,牧草,危害
三点盲蝽,豆类,危害
茶翅蝽,草莓,危害
大青叶蝉,白菜,危害
大青叶蝉,甘蓝,危害
大青叶蝉,花椰菜,危害
大青叶蝉,萝卜,危害
大青叶蝉,菜豆,危害
大青叶蝉,番茄,危害
大青叶蝉,茄子,危害
大青叶蝉,马铃薯,危害
大青叶蝉,莴苣,危害
大青叶蝉,芹菜,危害
大青叶蝉,胡萝卜,危害
大青叶蝉,菠菜,危害
芦笋立枯病,芦笋,危害
甘蓝夜蛾,甘蓝,危害
甘蓝夜蛾,白菜,危害
甘蓝夜蛾,瓜类,危害
甘蓝夜蛾,豆类,危害
甘蓝夜蛾,茄果类蔬菜,危害
甘蓝夜蛾,甜菜,危害
小造桥虫,棉花,危害
小造桥虫,黄麻,危害
小造桥虫,茼麻,危害
小造桥虫,红麻,危害
大造桥虫,蕹菜,危害
大造桥虫,莴苣,危害
亚洲玉米螟,谷,危害
亚洲玉米螟,棉,危害
亚洲玉米螟,马铃薯,危害
烟蓟马,棉花,危害
烟蓟马,大葱,危害
烟蓟马,马铃薯,危害
花蓟马,甘蔗,危害
花蓟马,茄果类,危害
十四点负泥甲,小麦,危害
十四点负泥甲,石刁柏,危害
十四点负泥甲,文竹,危害
灰地种蝇,花椰菜,危害
灰地种蝇,白菜,危害
灰地种蝇,甘蓝,危害
灰地种蝇,瓜类,危害
灰地种蝇,蔬菜,危害
灰地种蝇,果树,危害
灰地种蝇,林木,危害
莲藕腐败病,莲藕,危害
莲藕尾孢褐斑病,莲藕,危害
莲藕褐纹病,莲藕,危害
莲藕炭疽病,莲藕,危害
莲藕小菌核叶腐病,莲藕,危害
莲缢管蚜,莲藕,危害
莲缢管蚜,慈菇,危害
莲缢管蚜,菱角,危害
莲缢管蚜,绿萍,危害
莲缢管蚜,睡莲,危害
莲缢管蚜,眼子菜,危害
莲缢管蚜,香蒲,危害
